Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
01/08/2025,1,Lokomotiva Zagreb,NK Vukovar 91,1-0
02/08/2025,1,NK Osijek,Dinamo Zagreb,0-2
03/08/2025,1,HNK Rijeka,Slaven Belupo,2-0
03/08/2025,1,Hajduk Split,NK Istra 1961,2-1
04/08/2025,1,NK Varaždin,HNK Gorica,1-1
08/08/2025,2,Dinamo Zagreb,NK Vukovar 91,3-0
09/08/2025,2,NK Istra 1961,Lokomotiva Zagreb,2-2
09/08/2025,2,NK Osijek,HNK Rijeka,0-0
10/08/2025,2,Slaven Belupo,NK Varaždin,3-1
10/08/2025,2,Hajduk Split,HNK Gorica,2-0
15/08/2025,3,NK Vukovar 91,NK Istra 1961,1-1
16/08/2025,3,Lokomotiva Zagreb,HNK Gorica,1-3
16/08/2025,3,HNK Rijeka,Dinamo Zagreb,0-2
17/08/2025,3,NK Varaždin,NK Osijek,0-0
17/08/2025,3,Hajduk Split,Slaven Belupo,3-0
22/08/2025,4,NK Vukovar 91,HNK Gorica,2-2
23/08/2025,4,Slaven Belupo,Lokomotiva Zagreb,1-2
23/08/2025,4,Dinamo Zagreb,NK Istra 1961,3-0
24/08/2025,4,NK Osijek,Hajduk Split,0-2
24/08/2025,4,HNK Rijeka,NK Varaždin,1-2
29/08/2025,5,NK Istra 1961,HNK Gorica,1-0
30/08/2025,5,NK Vukovar 91,Slaven Belupo,1-2
30/08/2025,5,NK Varaždin,Dinamo Zagreb,2-2
31/08/2025,5,Lokomotiva Zagreb,NK Osijek,1-1
31/08/2025,5,Hajduk Split,HNK Rijeka,2-2
12/09/2025,6,Slaven Belupo,NK Istra 1961,2-1
13/09/2025,6,NK Varaždin,Hajduk Split,2-0
13/09/2025,6,HNK Rijeka,Lokomotiva Zagreb,1-1
14/09/2025,6,NK Osijek,NK Vukovar 91,4-0
14/09/2025,6,Dinamo Zagreb,HNK Gorica,1-2
20/09/2025,7,Hajduk Split,Dinamo Zagreb,0-2
20/09/2025,7,Lokomotiva Zagreb,NK Varaždin,1-0
21/09/2025,7,HNK Gorica,Slaven Belupo,2-1
21/09/2025,7,NK Istra 1961,NK Osijek,2-1
22/09/2025,7,NK Vukovar 91,HNK Rijeka,3-2
26/09/2025,8,NK Varaždin,NK Vukovar 91,2-1
27/09/2025,8,HNK Rijeka,NK Istra 1961,0-0
27/09/2025,8,Hajduk Split,Lokomotiva Zagreb,2-0
28/09/2025,8,HNK Gorica,NK Osijek,0-1
28/09/2025,8,Dinamo Zagreb,Slaven Belupo,4-1
03/10/2025,9,NK Istra 1961,NK Varaždin,1-0
04/10/2025,9,NK Vukovar 91,Hajduk Split,0-1
04/10/2025,9,Slaven Belupo,NK Osijek,2-1
05/10/2025,9,HNK Gorica,HNK Rijeka,1-3
05/10/2025,9,Lokomotiva Zagreb,Dinamo Zagreb,2-1
17/10/2025,10,NK Vukovar 91,Lokomotiva Zagreb,1-1
18/10/2025,10,Slaven Belupo,HNK Rijeka,1-1
18/10/2025,10,Dinamo Zagreb,NK Osijek,2-1
19/10/2025,10,NK Istra 1961,Hajduk Split,0-3
19/10/2025,10,HNK Gorica,NK Varaždin,1-3
24/10/2025,11,HNK Gorica,Hajduk Split,1-3
25/10/2025,11,Lokomotiva Zagreb,NK Istra 1961,1-2
25/10/2025,11,NK Varaždin,Slaven Belupo,1-3
27/10/2025,11,HNK Rijeka,NK Osijek,4-2
27/10/2025,11,NK Vukovar 91,Dinamo Zagreb,1-0
01/11/2025,12,Dinamo Zagreb,HNK Rijeka,2-1
01/11/2025,12,NK Istra 1961,NK Vukovar 91,1-1
02/11/2025,12,Slaven Belupo,Hajduk Split,0-0
02/11/2025,12,NK Osijek,NK Varaždin,0-0
03/11/2025,12,HNK Gorica,Lokomotiva Zagreb,4-1
07/11/2025,13,HNK Gorica,NK Vukovar 91,1-1
08/11/2025,13,Lokomotiva Zagreb,Slaven Belupo,1-1
08/11/2025,13,Hajduk Split,NK Osijek,2-0
09/11/2025,13,NK Istra 1961,Dinamo Zagreb,2-1
09/11/2025,13,NK Varaždin,HNK Rijeka,1-0
21/11/2025,14,Slaven Belupo,NK Vukovar 91,4-1
22/11/2025,14,Dinamo Zagreb,NK Varaždin,3-1
22/11/2025,14,HNK Rijeka,Hajduk Split,5-0
23/11/2025,14,NK Osijek,Lokomotiva Zagreb,1-1
23/11/2025,14,HNK Gorica,NK Istra 1961,1-0
28/11/2025,15,NK Vukovar 91,NK Osijek,2-2
29/11/2025,15,Hajduk Split,NK Varaždin,1-1
29/11/2025,15,NK Istra 1961,Slaven Belupo,1-1
30/11/2025,15,Lokomotiva Zagreb,HNK Rijeka,1-1
01/12/2025,15,HNK Gorica,Dinamo Zagreb,0-2
05/12/2025,16,Slaven Belupo,HNK Gorica,2-1
06/12/2025,16,Dinamo Zagreb,Hajduk Split,1-1
06/12/2025,16,HNK Rijeka,NK Vukovar 91,3-1
07/12/2025,16,NK Varaždin,Lokomotiva Zagreb,4-2
07/12/2025,16,NK Osijek,NK Istra 1961,1-5
12/12/2025,17,NK Vukovar 91,NK Varaždin,2-0
13/12/2025,17,NK Osijek,HNK Gorica,1-1
13/12/2025,17,Lokomotiva Zagreb,Hajduk Split,1-3
14/12/2025,17,Slaven Belupo,Dinamo Zagreb,2-5
20/01/2026,17,NK Istra 1961,HNK Rijeka,1-2
19/12/2025,18,NK Varaždin,NK Istra 1961,1-3
20/12/2025,18,NK Osijek,Slaven Belupo,0-0
20/12/2025,18,Dinamo Zagreb,Lokomotiva Zagreb,2-0
