Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
01/08/2025,1,Rot-Weiss Essen,TSV 1860 München,1-1
02/08/2025,1,Waldhof Mannheim,SC Verl,2-2
02/08/2025,1,FC Ingolstadt 04,Jahn Regensburg,1-1
02/08/2025,1,VfL Osnabrück,Alemannia Aachen,0-0
02/08/2025,1,Energie Cottbus,1. FC Saarbrücken,3-3
02/08/2025,1,1899 Hoffenheim II,TSV Havelse,0-0
02/08/2025,1,MSV Duisburg,VfB Stuttgart II,2-1
03/08/2025,1,Erzgebirge Aue,Hansa Rostock,0-0
03/08/2025,1,Viktoria Köln,1. FC Schweinfurt 05,2-0
03/08/2025,1,SV Wehen Wiesbaden,SSV Ulm 1846,3-1
08/08/2025,2,1. FC Schweinfurt 05,Energie Cottbus,0-2
09/08/2025,2,1. FC Saarbrücken,Viktoria Köln,2-1
09/08/2025,2,SSV Ulm 1846,Erzgebirge Aue,1-0
09/08/2025,2,TSV Havelse,Rot-Weiss Essen,1-1
09/08/2025,2,Alemannia Aachen,1899 Hoffenheim II,2-4
09/08/2025,2,TSV 1860 München,VfL Osnabrück,3-1
09/08/2025,2,SC Verl,SV Wehen Wiesbaden,2-2
10/08/2025,2,Jahn Regensburg,MSV Duisburg,0-4
10/08/2025,2,Hansa Rostock,Waldhof Mannheim,1-0
10/08/2025,2,VfB Stuttgart II,FC Ingolstadt 04,2-1
22/08/2025,3,SV Wehen Wiesbaden,Rot-Weiss Essen,3-4
23/08/2025,3,VfB Stuttgart II,SC Verl,1-1
23/08/2025,3,VfL Osnabrück,1. FC Saarbrücken,2-0
23/08/2025,3,Jahn Regensburg,1. FC Schweinfurt 05,3-0
23/08/2025,3,Alemannia Aachen,TSV 1860 München,0-2
23/08/2025,3,1899 Hoffenheim II,Energie Cottbus,4-1
23/08/2025,3,MSV Duisburg,SSV Ulm 1846,2-1
24/08/2025,3,FC Ingolstadt 04,Hansa Rostock,1-1
24/08/2025,3,Erzgebirge Aue,TSV Havelse,2-1
24/08/2025,3,Waldhof Mannheim,Viktoria Köln,2-0
29/08/2025,4,Viktoria Köln,Jahn Regensburg,1-0
30/08/2025,4,1. FC Saarbrücken,Erzgebirge Aue,4-1
30/08/2025,4,Energie Cottbus,FC Ingolstadt 04,1-1
30/08/2025,4,TSV Havelse,VfL Osnabrück,0-2
30/08/2025,4,TSV 1860 München,VfB Stuttgart II,1-1
30/08/2025,4,SC Verl,MSV Duisburg,2-3
30/08/2025,4,Hansa Rostock,1899 Hoffenheim II,0-1
31/08/2025,4,SSV Ulm 1846,Waldhof Mannheim,1-2
31/08/2025,4,1. FC Schweinfurt 05,SV Wehen Wiesbaden,0-1
31/08/2025,4,Rot-Weiss Essen,Alemannia Aachen,2-3
12/09/2025,5,Jahn Regensburg,Rot-Weiss Essen,1-3
13/09/2025,5,FC Ingolstadt 04,1. FC Schweinfurt 05,2-3
13/09/2025,5,VfB Stuttgart II,1. FC Saarbrücken,1-3
13/09/2025,5,Erzgebirge Aue,Viktoria Köln,0-3
13/09/2025,5,MSV Duisburg,SV Wehen Wiesbaden,3-1
13/09/2025,5,1899 Hoffenheim II,SC Verl,2-4
13/09/2025,5,Alemannia Aachen,SSV Ulm 1846,1-3
14/09/2025,5,VfL Osnabrück,Hansa Rostock,0-0
14/09/2025,5,Waldhof Mannheim,Energie Cottbus,0-3
14/09/2025,5,TSV 1860 München,TSV Havelse,3-2
16/09/2025,6,1. FC Saarbrücken,SSV Ulm 1846,3-1
16/09/2025,6,Viktoria Köln,1899 Hoffenheim II,2-1
16/09/2025,6,SV Wehen Wiesbaden,Jahn Regensburg,2-0
16/09/2025,6,SC Verl,Alemannia Aachen,2-1
16/09/2025,6,1. FC Schweinfurt 05,MSV Duisburg,0-3
17/09/2025,6,Waldhof Mannheim,VfB Stuttgart II,0-1
17/09/2025,6,Energie Cottbus,Erzgebirge Aue,2-1
17/09/2025,6,Hansa Rostock,TSV 1860 München,2-1
17/09/2025,6,TSV Havelse,FC Ingolstadt 04,2-6
17/09/2025,6,Rot-Weiss Essen,VfL Osnabrück,1-1
19/09/2025,7,1. FC Saarbrücken,1. FC Schweinfurt 05,2-1
20/09/2025,7,FC Ingolstadt 04,SV Wehen Wiesbaden,0-0
20/09/2025,7,VfB Stuttgart II,Viktoria Köln,2-1
20/09/2025,7,VfL Osnabrück,Erzgebirge Aue,3-1
20/09/2025,7,Alemannia Aachen,Waldhof Mannheim,3-2
20/09/2025,7,Rot-Weiss Essen,Hansa Rostock,3-0
20/09/2025,7,TSV 1860 München,1899 Hoffenheim II,1-5
21/09/2025,7,TSV Havelse,MSV Duisburg,1-1
21/09/2025,7,SC Verl,Energie Cottbus,2-1
21/09/2025,7,SSV Ulm 1846,Jahn Regensburg,2-1
26/09/2025,8,Energie Cottbus,VfB Stuttgart II,5-0
27/09/2025,8,Erzgebirge Aue,TSV 1860 München,2-0
27/09/2025,8,Hansa Rostock,TSV Havelse,1-1
27/09/2025,8,SV Wehen Wiesbaden,1. FC Saarbrücken,1-1
27/09/2025,8,MSV Duisburg,FC Ingolstadt 04,2-1
27/09/2025,8,1. FC Schweinfurt 05,Alemannia Aachen,1-5
27/09/2025,8,Waldhof Mannheim,Rot-Weiss Essen,6-1
28/09/2025,8,Jahn Regensburg,SC Verl,2-0
28/09/2025,8,1899 Hoffenheim II,SSV Ulm 1846,1-1
28/09/2025,8,Viktoria Köln,VfL Osnabrück,0-0
30/09/2025,9,1. FC Saarbrücken,MSV Duisburg,0-0
30/09/2025,9,VfB Stuttgart II,SV Wehen Wiesbaden,0-0
30/09/2025,9,Hansa Rostock,Energie Cottbus,1-3
30/09/2025,9,TSV Havelse,Waldhof Mannheim,2-3
30/09/2025,9,Alemannia Aachen,Erzgebirge Aue,0-1
01/10/2025,9,SSV Ulm 1846,1. FC Schweinfurt 05,5-1
01/10/2025,9,VfL Osnabrück,Jahn Regensburg,2-0
01/10/2025,9,Rot-Weiss Essen,1899 Hoffenheim II,3-1
01/10/2025,9,TSV 1860 München,Viktoria Köln,2-2
01/10/2025,9,SC Verl,FC Ingolstadt 04,2-2
03/10/2025,10,MSV Duisburg,Hansa Rostock,2-2
04/10/2025,10,Waldhof Mannheim,VfL Osnabrück,1-4
04/10/2025,10,FC Ingolstadt 04,SSV Ulm 1846,4-1
04/10/2025,10,Viktoria Köln,TSV Havelse,4-1
04/10/2025,10,Jahn Regensburg,1. FC Saarbrücken,1-1
04/10/2025,10,1. FC Schweinfurt 05,SC Verl,1-2
04/10/2025,10,Energie Cottbus,Alemannia Aachen,3-2
05/10/2025,10,Erzgebirge Aue,Rot-Weiss Essen,2-2
05/10/2025,10,SV Wehen Wiesbaden,TSV 1860 München,1-0
05/10/2025,10,1899 Hoffenheim II,VfB Stuttgart II,1-3
17/10/2025,11,Erzgebirge Aue,Waldhof Mannheim,0-2
18/10/2025,11,1. FC Saarbrücken,SC Verl,2-4
18/10/2025,11,VfB Stuttgart II,1. FC Schweinfurt 05,3-0
18/10/2025,11,VfL Osnabrück,1899 Hoffenheim II,0-4
18/10/2025,11,Hansa Rostock,SV Wehen Wiesbaden,3-0
18/10/2025,11,Alemannia Aachen,FC Ingolstadt 04,0-1
18/10/2025,11,Rot-Weiss Essen,Viktoria Köln,1-0
19/10/2025,11,SSV Ulm 1846,Energie Cottbus,1-2
19/10/2025,11,TSV 1860 München,MSV Duisburg,3-1
19/10/2025,11,TSV Havelse,Jahn Regensburg,1-2
24/10/2025,12,SV Wehen Wiesbaden,Alemannia Aachen,1-2
25/10/2025,12,Waldhof Mannheim,TSV 1860 München,3-1
25/10/2025,12,FC Ingolstadt 04,1. FC Saarbrücken,2-1
25/10/2025,12,Energie Cottbus,TSV Havelse,4-3
25/10/2025,12,Jahn Regensburg,VfB Stuttgart II,3-2
25/10/2025,12,SC Verl,SSV Ulm 1846,5-0
25/10/2025,12,1. FC Schweinfurt 05,VfL Osnabrück,1-2
26/10/2025,12,1899 Hoffenheim II,Erzgebirge Aue,1-1
26/10/2025,12,Viktoria Köln,Hansa Rostock,2-4
26/10/2025,12,MSV Duisburg,Rot-Weiss Essen,1-1
31/10/2025,13,Viktoria Köln,FC Ingolstadt 04,3-1
01/11/2025,13,SSV Ulm 1846,VfB Stuttgart II,1-3
01/11/2025,13,Erzgebirge Aue,Jahn Regensburg,4-3
01/11/2025,13,VfL Osnabrück,MSV Duisburg,0-0
01/11/2025,13,TSV Havelse,SV Wehen Wiesbaden,0-2
01/11/2025,13,TSV 1860 München,Energie Cottbus,3-0
01/11/2025,13,Hansa Rostock,SC Verl,2-2
02/11/2025,13,1899 Hoffenheim II,Waldhof Mannheim,2-0
02/11/2025,13,Rot-Weiss Essen,1. FC Schweinfurt 05,2-1
02/11/2025,13,Alemannia Aachen,1. FC Saarbrücken,2-0
07/11/2025,14,MSV Duisburg,Waldhof Mannheim,2-1
08/11/2025,14,FC Ingolstadt 04,Rot-Weiss Essen,1-2
08/11/2025,14,SSV Ulm 1846,Hansa Rostock,0-5
08/11/2025,14,Energie Cottbus,VfL Osnabrück,0-1
08/11/2025,14,SC Verl,Erzgebirge Aue,1-1
08/11/2025,14,1. FC Schweinfurt 05,1899 Hoffenheim II,2-1
08/11/2025,14,1. FC Saarbrücken,TSV Havelse,1-1
09/11/2025,14,VfB Stuttgart II,Alemannia Aachen,1-3
09/11/2025,14,Jahn Regensburg,TSV 1860 München,4-0
09/11/2025,14,SV Wehen Wiesbaden,Viktoria Köln,0-1
21/11/2025,15,1899 Hoffenheim II,MSV Duisburg,4-1
22/11/2025,15,Waldhof Mannheim,SV Wehen Wiesbaden,1-0
22/11/2025,15,Viktoria Köln,SC Verl,1-5
22/11/2025,15,Hansa Rostock,1. FC Schweinfurt 05,2-0
22/11/2025,15,TSV Havelse,SSV Ulm 1846,2-1
22/11/2025,15,Alemannia Aachen,Jahn Regensburg,0-2
22/11/2025,15,VfL Osnabrück,FC Ingolstadt 04,1-0
23/11/2025,15,TSV 1860 München,1. FC Saarbrücken,2-0
