Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
04/04/2026,1,Degerfors IF,IK Sirius,
04/04/2026,1,Hammarby IF,Mjällby AIF,
05/04/2026,1,AIK Solna,Halmstads BK,
05/04/2026,1,Kalmar FF,Västerås SK,
05/04/2026,1,Örgryte IS,Malmö FF,
06/04/2026,1,BK Häcken,IF Brommapojkarna,
06/04/2026,1,IF Elfsborg,IFK Göteborg,
06/04/2026,1,GAIS Göteborg,Djurgårdens IF,
11/04/2026,2,IFK Göteborg,BK Häcken,
11/04/2026,2,Mjällby AIF,Örgryte IS,
11/04/2026,2,Västerås SK,IF Elfsborg,
12/04/2026,2,Djurgårdens IF,Kalmar FF,
12/04/2026,2,Halmstads BK,Degerfors IF,
12/04/2026,2,Malmö FF,GAIS Göteborg,
13/04/2026,2,IF Brommapojkarna,AIK Solna,
13/04/2026,2,IK Sirius,Hammarby IF,
17/04/2026,3,Degerfors IF,IF Elfsborg,
17/04/2026,3,Djurgårdens IF,Malmö FF,
18/04/2026,3,Halmstads BK,IFK Göteborg,
18/04/2026,3,Hammarby IF,Örgryte IS,
18/04/2026,3,IK Sirius,Västerås SK,
18/04/2026,3,Mjällby AIF,IF Brommapojkarna,
19/04/2026,3,AIK Solna,Kalmar FF,
19/04/2026,3,BK Häcken,GAIS Göteborg,
22/04/2026,4,Hammarby IF,Halmstads BK,
22/04/2026,4,IF Elfsborg,Djurgårdens IF,
22/04/2026,4,Örgryte IS,IF Brommapojkarna,
22/04/2026,4,Västerås SK,BK Häcken,
23/04/2026,4,Degerfors IF,AIK Solna,
23/04/2026,4,GAIS Göteborg,Mjällby AIF,
23/04/2026,4,Kalmar FF,IFK Göteborg,
23/04/2026,4,Malmö FF,IK Sirius,
26/04/2026,5,Djurgårdens IF,Hammarby IF,
26/04/2026,5,IF Brommapojkarna,Västerås SK,
26/04/2026,5,IFK Göteborg,GAIS Göteborg,
27/04/2026,5,AIK Solna,Malmö FF,
27/04/2026,5,BK Häcken,IK Sirius,
27/04/2026,5,Kalmar FF,IF Elfsborg,
27/04/2026,5,Mjällby AIF,Halmstads BK,
27/04/2026,5,Örgryte IS,Degerfors IF,
02/05/2026,6,Degerfors IF,BK Häcken,
02/05/2026,6,IK Sirius,Kalmar FF,
03/05/2026,6,Hammarby IF,Västerås SK,
03/05/2026,6,Malmö FF,Mjällby AIF,
03/05/2026,6,GAIS Göteborg,Örgryte IS,
03/05/2026,6,IF Elfsborg,AIK Solna,
04/05/2026,6,Djurgårdens IF,IFK Göteborg,
04/05/2026,6,Halmstads BK,IF Brommapojkarna,
08/05/2026,7,IF Elfsborg,IF Brommapojkarna,
09/05/2026,7,Degerfors IF,Mjällby AIF,
09/05/2026,7,Västerås SK,GAIS Göteborg,
10/05/2026,7,AIK Solna,Djurgårdens IF,
10/05/2026,7,Kalmar FF,Halmstads BK,
10/05/2026,7,BK Häcken,Malmö FF,
11/05/2026,7,IFK Göteborg,Hammarby IF,
11/05/2026,7,IK Sirius,Örgryte IS,
16/05/2026,8,GAIS Göteborg,Degerfors IF,
16/05/2026,8,Halmstads BK,IF Elfsborg,
17/05/2026,8,Hammarby IF,Malmö FF,
17/05/2026,8,IF Brommapojkarna,Kalmar FF,
17/05/2026,8,Mjällby AIF,BK Häcken,
17/05/2026,8,Västerås SK,AIK Solna,
18/05/2026,8,Djurgårdens IF,IK Sirius,
18/05/2026,8,Örgryte IS,IFK Göteborg,
22/05/2026,9,Djurgårdens IF,IF Brommapojkarna,
23/05/2026,9,Halmstads BK,Örgryte IS,
23/05/2026,9,Kalmar FF,Degerfors IF,
24/05/2026,9,Hammarby IF,AIK Solna,
24/05/2026,9,IK Sirius,GAIS Göteborg,
24/05/2026,9,Malmö FF,Västerås SK,
25/05/2026,9,IF Elfsborg,BK Häcken,
25/05/2026,9,IFK Göteborg,Mjällby AIF,
29/05/2026,10,Örgryte IS,IF Elfsborg,
30/05/2026,10,AIK Solna,IK Sirius,
30/05/2026,10,GAIS Göteborg,Kalmar FF,
30/05/2026,10,Malmö FF,Halmstads BK,
31/05/2026,10,BK Häcken,Hammarby IF,
31/05/2026,10,Degerfors IF,IF Brommapojkarna,
31/05/2026,10,Västerås SK,IFK Göteborg,
31/05/2026,10,Mjällby AIF,Djurgårdens IF,
05/07/2026,11,BK Häcken,Djurgårdens IF,
05/07/2026,11,Degerfors IF,Malmö FF,
05/07/2026,11,Halmstads BK,Västerås SK,
05/07/2026,11,IF Brommapojkarna,GAIS Göteborg,
05/07/2026,11,IF Elfsborg,Hammarby IF,
05/07/2026,11,IFK Göteborg,AIK Solna,
05/07/2026,11,IK Sirius,Mjällby AIF,
05/07/2026,11,Kalmar FF,Örgryte IS,
12/07/2026,12,Djurgårdens IF,Halmstads BK,
12/07/2026,12,GAIS Göteborg,IF Elfsborg,
12/07/2026,12,Hammarby IF,Kalmar FF,
12/07/2026,12,IF Brommapojkarna,IK Sirius,
12/07/2026,12,Malmö FF,IFK Göteborg,
12/07/2026,12,Mjällby AIF,AIK Solna,
12/07/2026,12,Örgryte IS,BK Häcken,
12/07/2026,12,Västerås SK,Degerfors IF,
19/07/2026,13,AIK Solna,GAIS Göteborg,
19/07/2026,13,Halmstads BK,BK Häcken,
19/07/2026,13,Hammarby IF,Degerfors IF,
19/07/2026,13,IF Elfsborg,IK Sirius,
19/07/2026,13,IFK Göteborg,IF Brommapojkarna,
19/07/2026,13,Kalmar FF,Malmö FF,
19/07/2026,13,Mjällby AIF,Västerås SK,
19/07/2026,13,Örgryte IS,Djurgårdens IF,
26/07/2026,14,BK Häcken,AIK Solna,
26/07/2026,14,Degerfors IF,Djurgårdens IF,
26/07/2026,14,GAIS Göteborg,Halmstads BK,
26/07/2026,14,IF Brommapojkarna,Hammarby IF,
26/07/2026,14,IK Sirius,IFK Göteborg,
26/07/2026,14,Kalmar FF,Mjällby AIF,
26/07/2026,14,Malmö FF,IF Elfsborg,
26/07/2026,14,Västerås SK,Örgryte IS,
20/05/2026,15,GAIS Göteborg,Hammarby IF,
21/05/2026,15,IF Elfsborg,Mjällby AIF,
02/08/2026,15,AIK Solna,Örgryte IS,
02/08/2026,15,BK Häcken,Kalmar FF,
02/08/2026,15,Djurgårdens IF,Västerås SK,
02/08/2026,15,Halmstads BK,IK Sirius,
02/08/2026,15,IF Brommapojkarna,Malmö FF,
02/08/2026,15,IFK Göteborg,Degerfors IF,
09/08/2026,16,Halmstads BK,GAIS Göteborg,
09/08/2026,16,Hammarby IF,BK Häcken,
09/08/2026,16,IFK Göteborg,Kalmar FF,
09/08/2026,16,IK Sirius,IF Brommapojkarna,
09/08/2026,16,Malmö FF,Degerfors IF,
09/08/2026,16,Mjällby AIF,IF Elfsborg,
09/08/2026,16,Örgryte IS,AIK Solna,
09/08/2026,16,Västerås SK,Djurgårdens IF,
16/08/2026,17,BK Häcken,Halmstads BK,
16/08/2026,17,Degerfors IF,IFK Göteborg,
16/08/2026,17,Djurgårdens IF,AIK Solna,
16/08/2026,17,GAIS Göteborg,Malmö FF,
16/08/2026,17,IF Brommapojkarna,Örgryte IS,
16/08/2026,17,IF Elfsborg,Västerås SK,
16/08/2026,17,Kalmar FF,Hammarby IF,
16/08/2026,17,Mjällby AIF,IK Sirius,
23/08/2026,18,AIK Solna,Mjällby AIF,
23/08/2026,18,Hammarby IF,GAIS Göteborg,
23/08/2026,18,IF Brommapojkarna,Degerfors IF,
23/08/2026,18,IFK Göteborg,IF Elfsborg,
23/08/2026,18,IK Sirius,BK Häcken,
23/08/2026,18,Malmö FF,Djurgårdens IF,
