Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
22/08/2025,1,Bayern Munich,RB Leipzig,6-0
23/08/2025,1,Eintracht Francfort,Werder Bremen,4-1
23/08/2025,1,Bayer Leverkusen,1899 Hoffenheim,1-2
23/08/2025,1,SC Friburgo,FC Augsburgo,1-3
23/08/2025,1,Union Berlín,VfB Stuttgart,2-1
23/08/2025,1,1. FC Heidenheim 1846,VfL Wolfsburgo,1-3
23/08/2025,1,FC St. Pauli,Borussia Dortmund,3-3
24/08/2025,1,1. FSV Mainz 05,1. FC Colonia,0-1
24/08/2025,1,Bor. Mönchengladbach,Hamburgo SV,0-0
29/08/2025,2,Hamburgo SV,FC St. Pauli,0-2
30/08/2025,2,RB Leipzig,1. FC Heidenheim 1846,2-0
30/08/2025,2,Werder Bremen,Bayer Leverkusen,3-3
30/08/2025,2,VfB Stuttgart,Bor. Mönchengladbach,1-0
30/08/2025,2,1899 Hoffenheim,Eintracht Francfort,1-3
30/08/2025,2,FC Augsburgo,Bayern Munich,2-3
31/08/2025,2,VfL Wolfsburgo,1. FSV Mainz 05,1-1
31/08/2025,2,Borussia Dortmund,Union Berlín,3-0
31/08/2025,2,1. FC Colonia,SC Friburgo,4-1
12/09/2025,3,Bayer Leverkusen,Eintracht Francfort,3-1
13/09/2025,3,SC Friburgo,VfB Stuttgart,3-1
13/09/2025,3,1. FSV Mainz 05,RB Leipzig,0-1
13/09/2025,3,VfL Wolfsburgo,1. FC Colonia,3-3
13/09/2025,3,Union Berlín,1899 Hoffenheim,2-4
13/09/2025,3,1. FC Heidenheim 1846,Borussia Dortmund,0-2
13/09/2025,3,Bayern Munich,Hamburgo SV,5-0
14/09/2025,3,FC St. Pauli,FC Augsburgo,2-1
14/09/2025,3,Bor. Mönchengladbach,Werder Bremen,0-4
19/09/2025,4,VfB Stuttgart,FC St. Pauli,2-0
20/09/2025,4,Werder Bremen,SC Friburgo,0-3
20/09/2025,4,FC Augsburgo,1. FSV Mainz 05,1-4
20/09/2025,4,1899 Hoffenheim,Bayern Munich,1-4
20/09/2025,4,Hamburgo SV,1. FC Heidenheim 1846,2-1
20/09/2025,4,RB Leipzig,1. FC Colonia,3-1
21/09/2025,4,Eintracht Francfort,Union Berlín,3-4
21/09/2025,4,Bayer Leverkusen,Bor. Mönchengladbach,1-1
21/09/2025,4,Borussia Dortmund,VfL Wolfsburgo,1-0
26/09/2025,5,Bayern Munich,Werder Bremen,4-0
27/09/2025,5,1. FSV Mainz 05,Borussia Dortmund,0-2
27/09/2025,5,VfL Wolfsburgo,RB Leipzig,0-1
27/09/2025,5,FC St. Pauli,Bayer Leverkusen,1-2
27/09/2025,5,1. FC Heidenheim 1846,FC Augsburgo,2-1
27/09/2025,5,Bor. Mönchengladbach,Eintracht Francfort,4-6
28/09/2025,5,SC Friburgo,1899 Hoffenheim,1-1
28/09/2025,5,1. FC Colonia,VfB Stuttgart,1-2
28/09/2025,5,Union Berlín,Hamburgo SV,0-0
03/10/2025,6,1899 Hoffenheim,1. FC Colonia,0-1
04/10/2025,6,Bayer Leverkusen,Union Berlín,2-0
04/10/2025,6,Borussia Dortmund,RB Leipzig,1-1
04/10/2025,6,Werder Bremen,FC St. Pauli,1-0
04/10/2025,6,FC Augsburgo,VfL Wolfsburgo,3-1
04/10/2025,6,Eintracht Francfort,Bayern Munich,0-3
05/10/2025,6,VfB Stuttgart,1. FC Heidenheim 1846,1-0
05/10/2025,6,Hamburgo SV,1. FSV Mainz 05,4-0
05/10/2025,6,Bor. Mönchengladbach,SC Friburgo,0-0
17/10/2025,7,Union Berlín,Bor. Mönchengladbach,3-1
18/10/2025,7,1. FSV Mainz 05,Bayer Leverkusen,3-4
18/10/2025,7,RB Leipzig,Hamburgo SV,2-1
18/10/2025,7,VfL Wolfsburgo,VfB Stuttgart,0-3
18/10/2025,7,1. FC Heidenheim 1846,Werder Bremen,2-2
18/10/2025,7,1. FC Colonia,FC Augsburgo,1-1
18/10/2025,7,Bayern Munich,Borussia Dortmund,2-1
19/10/2025,7,SC Friburgo,Eintracht Francfort,2-2
19/10/2025,7,FC St. Pauli,1899 Hoffenheim,0-3
24/10/2025,8,Werder Bremen,Union Berlín,1-0
25/10/2025,8,Eintracht Francfort,FC St. Pauli,2-0
25/10/2025,8,FC Augsburgo,RB Leipzig,0-6
25/10/2025,8,1899 Hoffenheim,1. FC Heidenheim 1846,3-1
25/10/2025,8,Hamburgo SV,VfL Wolfsburgo,0-1
25/10/2025,8,Bor. Mönchengladbach,Bayern Munich,0-3
25/10/2025,8,Borussia Dortmund,1. FC Colonia,1-0
26/10/2025,8,Bayer Leverkusen,SC Friburgo,2-0
26/10/2025,8,VfB Stuttgart,1. FSV Mainz 05,2-1
31/10/2025,9,FC Augsburgo,Borussia Dortmund,0-1
01/11/2025,9,1. FSV Mainz 05,Werder Bremen,1-1
01/11/2025,9,RB Leipzig,VfB Stuttgart,3-1
01/11/2025,9,Union Berlín,SC Friburgo,0-0
01/11/2025,9,FC St. Pauli,Bor. Mönchengladbach,0-4
01/11/2025,9,1. FC Heidenheim 1846,Eintracht Francfort,1-1
01/11/2025,9,Bayern Munich,Bayer Leverkusen,3-0
02/11/2025,9,1. FC Colonia,Hamburgo SV,4-1
02/11/2025,9,VfL Wolfsburgo,1899 Hoffenheim,2-3
07/11/2025,10,Werder Bremen,VfL Wolfsburgo,2-1
08/11/2025,10,Bayer Leverkusen,1. FC Heidenheim 1846,6-0
08/11/2025,10,Union Berlín,Bayern Munich,2-2
08/11/2025,10,1899 Hoffenheim,RB Leipzig,3-1
08/11/2025,10,Hamburgo SV,Borussia Dortmund,1-1
08/11/2025,10,Bor. Mönchengladbach,1. FC Colonia,3-1
09/11/2025,10,SC Friburgo,FC St. Pauli,2-1
09/11/2025,10,VfB Stuttgart,FC Augsburgo,3-2
09/11/2025,10,Eintracht Francfort,1. FSV Mainz 05,1-0
21/11/2025,11,1. FSV Mainz 05,1899 Hoffenheim,1-1
22/11/2025,11,Bayern Munich,SC Friburgo,6-2
22/11/2025,11,Borussia Dortmund,VfB Stuttgart,3-3
22/11/2025,11,VfL Wolfsburgo,Bayer Leverkusen,1-3
22/11/2025,11,FC Augsburgo,Hamburgo SV,1-0
22/11/2025,11,1. FC Heidenheim 1846,Bor. Mönchengladbach,0-3
22/11/2025,11,1. FC Colonia,Eintracht Francfort,3-4
23/11/2025,11,RB Leipzig,Werder Bremen,2-0
23/11/2025,11,FC St. Pauli,Union Berlín,0-1
28/11/2025,12,Bor. Mönchengladbach,RB Leipzig,0-0
29/11/2025,12,Bayern Munich,FC St. Pauli,3-1
29/11/2025,12,Werder Bremen,1. FC Colonia,1-1
29/11/2025,12,Union Berlín,1. FC Heidenheim 1846,1-2
29/11/2025,12,1899 Hoffenheim,FC Augsburgo,3-0
29/11/2025,12,Bayer Leverkusen,Borussia Dortmund,1-2
30/11/2025,12,Hamburgo SV,VfB Stuttgart,2-1
30/11/2025,12,Eintracht Francfort,VfL Wolfsburgo,1-1
30/11/2025,12,SC Friburgo,1. FSV Mainz 05,4-0
05/12/2025,13,1. FSV Mainz 05,Bor. Mönchengladbach,0-1
06/12/2025,13,VfB Stuttgart,Bayern Munich,0-5
06/12/2025,13,VfL Wolfsburgo,Union Berlín,3-1
06/12/2025,13,1. FC Heidenheim 1846,SC Friburgo,2-1
06/12/2025,13,1. FC Colonia,FC St. Pauli,1-1
06/12/2025,13,FC Augsburgo,Bayer Leverkusen,2-0
06/12/2025,13,RB Leipzig,Eintracht Francfort,6-0
07/12/2025,13,Hamburgo SV,Werder Bremen,3-2
07/12/2025,13,Borussia Dortmund,1899 Hoffenheim,2-0
12/12/2025,14,Union Berlín,RB Leipzig,3-1
13/12/2025,14,Eintracht Francfort,FC Augsburgo,1-0
13/12/2025,14,Bor. Mönchengladbach,VfL Wolfsburgo,1-3
13/12/2025,14,FC St. Pauli,1. FC Heidenheim 1846,2-1
13/12/2025,14,1899 Hoffenheim,Hamburgo SV,4-1
13/12/2025,14,Bayer Leverkusen,1. FC Colonia,2-0
14/12/2025,14,SC Friburgo,Borussia Dortmund,1-1
14/12/2025,14,Bayern Munich,1. FSV Mainz 05,2-2
14/12/2025,14,Werder Bremen,VfB Stuttgart,0-4
19/12/2025,15,Borussia Dortmund,Bor. Mönchengladbach,2-0
20/12/2025,15,VfB Stuttgart,1899 Hoffenheim,0-0
20/12/2025,15,VfL Wolfsburgo,SC Friburgo,3-4
