Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
16/09/2025,1,Athletic Club,Arsenal FC,0-2
16/09/2025,1,PSV Eindhoven,Union Saint-Gilloise,1-3
16/09/2025,1,Real Madrid,Olympique Marseille,2-1
16/09/2025,1,Juventus,Borussia Dortmund,4-4
16/09/2025,1,SL Benfica,Qarabağ FK,2-3
16/09/2025,1,Tottenham Hotspur,Villarreal CF,1-0
17/09/2025,1,Slavia Praha,FK Bodø/Glimt,2-2
17/09/2025,1,Olympiakos Piraeus,Pafos FC,0-0
17/09/2025,1,Bayern Munich,Chelsea FC,3-1
17/09/2025,1,AFC Ajax,Inter,0-2
17/09/2025,1,Liverpool FC,Atlético de Madrid,3-2
17/09/2025,1,Paris Saint-Germain,Atalanta,4-0
18/09/2025,1,FC København,Bayer Leverkusen,2-2
18/09/2025,1,Club Brugge KV,AS Monaco,4-1
18/09/2025,1,Newcastle United,FC Barcelona,1-2
18/09/2025,1,Manchester City,SSC Napoli,2-0
18/09/2025,1,Eintracht Francfort,Galatasaray,5-1
18/09/2025,1,Sporting CP,FK Kairat,4-1
30/09/2025,2,FK Kairat,Real Madrid,0-5
30/09/2025,2,Atalanta,Club Brugge KV,2-1
30/09/2025,2,Pafos FC,Bayern Munich,1-5
30/09/2025,2,Chelsea FC,SL Benfica,1-0
30/09/2025,2,Inter,Slavia Praha,3-0
30/09/2025,2,Galatasaray,Liverpool FC,1-0
30/09/2025,2,Atlético de Madrid,Eintracht Francfort,5-1
30/09/2025,2,Olympique Marseille,AFC Ajax,4-0
30/09/2025,2,FK Bodø/Glimt,Tottenham Hotspur,2-2
01/10/2025,2,Qarabağ FK,FC København,2-0
01/10/2025,2,Union Saint-Gilloise,Newcastle United,0-4
01/10/2025,2,Borussia Dortmund,Athletic Club,4-1
01/10/2025,2,FC Barcelona,Paris Saint-Germain,1-2
01/10/2025,2,AS Monaco,Manchester City,2-2
01/10/2025,2,Bayer Leverkusen,PSV Eindhoven,1-1
01/10/2025,2,Arsenal FC,Olympiakos Piraeus,2-0
01/10/2025,2,Villarreal CF,Juventus,2-2
01/10/2025,2,SSC Napoli,Sporting CP,2-1
21/10/2025,3,FC Barcelona,Olympiakos Piraeus,6-1
21/10/2025,3,FK Kairat,Pafos FC,0-0
21/10/2025,3,Union Saint-Gilloise,Inter,0-4
21/10/2025,3,FC København,Borussia Dortmund,2-4
21/10/2025,3,Bayer Leverkusen,Paris Saint-Germain,2-7
21/10/2025,3,Villarreal CF,Manchester City,0-2
21/10/2025,3,Arsenal FC,Atlético de Madrid,4-0
21/10/2025,3,Newcastle United,SL Benfica,3-0
21/10/2025,3,PSV Eindhoven,SSC Napoli,6-2
22/10/2025,3,Galatasaray,FK Bodø/Glimt,3-1
22/10/2025,3,Athletic Club,Qarabağ FK,3-1
22/10/2025,3,Bayern Munich,Club Brugge KV,4-0
22/10/2025,3,Chelsea FC,AFC Ajax,5-1
22/10/2025,3,Real Madrid,Juventus,1-0
22/10/2025,3,Eintracht Francfort,Liverpool FC,1-5
22/10/2025,3,Atalanta,Slavia Praha,0-0
22/10/2025,3,Sporting CP,Olympique Marseille,2-1
22/10/2025,3,AS Monaco,Tottenham Hotspur,0-0
04/11/2025,4,Slavia Praha,Arsenal FC,0-3
04/11/2025,4,SSC Napoli,Eintracht Francfort,0-0
04/11/2025,4,Paris Saint-Germain,Bayern Munich,1-2
04/11/2025,4,Liverpool FC,Real Madrid,1-0
04/11/2025,4,Juventus,Sporting CP,1-1
04/11/2025,4,Atlético de Madrid,Union Saint-Gilloise,3-1
04/11/2025,4,Tottenham Hotspur,FC København,4-0
04/11/2025,4,FK Bodø/Glimt,AS Monaco,0-1
04/11/2025,4,Olympiakos Piraeus,PSV Eindhoven,1-1
05/11/2025,4,Qarabağ FK,Chelsea FC,2-2
05/11/2025,4,Pafos FC,Villarreal CF,1-0
05/11/2025,4,Inter,FK Kairat,2-1
05/11/2025,4,Manchester City,Borussia Dortmund,4-1
05/11/2025,4,Club Brugge KV,FC Barcelona,3-3
05/11/2025,4,SL Benfica,Bayer Leverkusen,0-1
05/11/2025,4,Olympique Marseille,Atalanta,0-1
05/11/2025,4,AFC Ajax,Galatasaray,0-3
05/11/2025,4,Newcastle United,Athletic Club,2-0
25/11/2025,5,AFC Ajax,SL Benfica,0-2
25/11/2025,5,Galatasaray,Union Saint-Gilloise,0-1
25/11/2025,5,Chelsea FC,FC Barcelona,3-0
25/11/2025,5,Borussia Dortmund,Villarreal CF,4-0
25/11/2025,5,Manchester City,Bayer Leverkusen,0-2
25/11/2025,5,FK Bodø/Glimt,Juventus,2-3
25/11/2025,5,Olympique Marseille,Newcastle United,2-1
25/11/2025,5,Slavia Praha,Athletic Club,0-0
25/11/2025,5,SSC Napoli,Qarabağ FK,2-0
26/11/2025,5,Pafos FC,AS Monaco,2-2
26/11/2025,5,FC København,FK Kairat,3-2
26/11/2025,5,Arsenal FC,Bayern Munich,3-1
26/11/2025,5,Olympiakos Piraeus,Real Madrid,3-4
26/11/2025,5,Atlético de Madrid,Inter,2-1
26/11/2025,5,Liverpool FC,PSV Eindhoven,1-4
26/11/2025,5,Paris Saint-Germain,Tottenham Hotspur,5-3
26/11/2025,5,Eintracht Francfort,Atalanta,0-3
26/11/2025,5,Sporting CP,Club Brugge KV,3-0
09/12/2025,6,FK Kairat,Olympiakos Piraeus,0-1
09/12/2025,6,Bayern Munich,Sporting CP,3-1
09/12/2025,6,Atalanta,Chelsea FC,2-1
09/12/2025,6,Inter,Liverpool FC,0-1
09/12/2025,6,FC Barcelona,Eintracht Francfort,2-1
09/12/2025,6,PSV Eindhoven,Atlético de Madrid,2-3
09/12/2025,6,Union Saint-Gilloise,Olympique Marseille,2-3
09/12/2025,6,Tottenham Hotspur,Slavia Praha,3-0
09/12/2025,6,AS Monaco,Galatasaray,1-0
10/12/2025,6,Villarreal CF,FC København,2-3
10/12/2025,6,Qarabağ FK,AFC Ajax,2-4
10/12/2025,6,Real Madrid,Manchester City,1-2
