Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
02/10/2025,1,Lech Poznań,Rapid Wien,4-1
02/10/2025,1,Dinamo Kiev,Crystal Palace,0-2
02/10/2025,1,Rayo Vallecano,KF Shkëndija 79,2-0
02/10/2025,1,Omonia Nikosia,1. FSV Mainz 05,0-1
02/10/2025,1,Jagiellonia Białystok,Hamrun Spartans,1-0
02/10/2025,1,FC Noah,HNK Rijeka,1-0
02/10/2025,1,Zrinjski Mostar,Lincoln Red Imps,5-0
02/10/2025,1,Kuopion PS,KF Drita,1-1
02/10/2025,1,FC Lausanne-Sport,Breiðablik,3-0
02/10/2025,1,ACF Fiorentina,Sigma Olomouc,2-0
02/10/2025,1,AEK Larnaca,AZ Alkmaar,4-0
02/10/2025,1,Aberdeen FC,Shajtar Donetsk,2-3
02/10/2025,1,Slovan Bratislava,Racing Strasbourg,1-2
02/10/2025,1,Legia Warszawa,Samsunspor,0-1
02/10/2025,1,AC Sparta Praha,Shamrock Rovers,4-1
02/10/2025,1,NK Celje,AEK Athen,3-1
02/10/2025,1,Raków Częstochowa,CS Universitatea Craiova,2-0
02/10/2025,1,Shelbourne FC,BK Häcken,0-0
23/10/2025,2,Rapid Wien,ACF Fiorentina,0-3
23/10/2025,2,AZ Alkmaar,Slovan Bratislava,1-0
23/10/2025,2,Shajtar Donetsk,Legia Warszawa,1-2
23/10/2025,2,BK Häcken,Rayo Vallecano,2-2
23/10/2025,2,KF Drita,Omonia Nikosia,1-1
23/10/2025,2,Racing Strasbourg,Jagiellonia Białystok,1-1
23/10/2025,2,Breiðablik,Kuopion PS,0-0
23/10/2025,2,AEK Athen,Aberdeen FC,6-0
23/10/2025,2,KF Shkëndija 79,Shelbourne FC,1-0
23/10/2025,2,Samsunspor,Dinamo Kiev,3-0
23/10/2025,2,Crystal Palace,AEK Larnaca,0-1
23/10/2025,2,Lincoln Red Imps,Lech Poznań,2-1
23/10/2025,2,1. FSV Mainz 05,Zrinjski Mostar,1-0
23/10/2025,2,Sigma Olomouc,Raków Częstochowa,1-1
23/10/2025,2,Hamrun Spartans,FC Lausanne-Sport,0-1
23/10/2025,2,CS Universitatea Craiova,FC Noah,1-1
23/10/2025,2,Shamrock Rovers,NK Celje,0-2
24/10/2025,2,HNK Rijeka,AC Sparta Praha,1-0
06/11/2025,3,1. FSV Mainz 05,ACF Fiorentina,2-1
06/11/2025,3,Shajtar Donetsk,Breiðablik,2-0
06/11/2025,3,Kuopion PS,Slovan Bratislava,3-1
06/11/2025,3,NK Celje,Legia Warszawa,2-1
06/11/2025,3,AC Sparta Praha,Raków Częstochowa,0-0
06/11/2025,3,AEK Larnaca,Aberdeen FC,0-0
06/11/2025,3,FC Noah,Sigma Olomouc,1-2
06/11/2025,3,Samsunspor,Hamrun Spartans,3-0
06/11/2025,3,AEK Athen,Shamrock Rovers,1-1
06/11/2025,3,Crystal Palace,AZ Alkmaar,3-1
06/11/2025,3,Rapid Wien,CS Universitatea Craiova,0-1
06/11/2025,3,Dinamo Kiev,Zrinjski Mostar,6-0
06/11/2025,3,Rayo Vallecano,Lech Poznań,3-2
06/11/2025,3,FC Lausanne-Sport,Omonia Nikosia,1-1
06/11/2025,3,BK Häcken,Racing Strasbourg,1-2
06/11/2025,3,KF Shkëndija 79,Jagiellonia Białystok,1-1
06/11/2025,3,Lincoln Red Imps,HNK Rijeka,1-1
06/11/2025,3,Shelbourne FC,KF Drita,0-1
27/11/2025,4,AZ Alkmaar,Shelbourne FC,2-0
27/11/2025,4,Slovan Bratislava,Rayo Vallecano,2-1
27/11/2025,4,Raków Częstochowa,Rapid Wien,4-1
27/11/2025,4,Omonia Nikosia,Dinamo Kiev,2-0
27/11/2025,4,Lech Poznań,FC Lausanne-Sport,2-0
27/11/2025,4,CS Universitatea Craiova,1. FSV Mainz 05,1-0
27/11/2025,4,Sigma Olomouc,NK Celje,2-1
27/11/2025,4,Zrinjski Mostar,BK Häcken,2-1
27/11/2025,4,Hamrun Spartans,Lincoln Red Imps,3-1
27/11/2025,4,ACF Fiorentina,AEK Athen,0-1
27/11/2025,4,Shamrock Rovers,Shajtar Donetsk,1-2
27/11/2025,4,Legia Warszawa,AC Sparta Praha,0-1
27/11/2025,4,Racing Strasbourg,Crystal Palace,2-1
27/11/2025,4,Jagiellonia Białystok,Kuopion PS,1-0
27/11/2025,4,HNK Rijeka,AEK Larnaca,0-0
27/11/2025,4,Aberdeen FC,FC Noah,1-1
27/11/2025,4,KF Drita,KF Shkëndija 79,1-0
27/11/2025,4,Breiðablik,Samsunspor,2-2
11/12/2025,5,ACF Fiorentina,Dinamo Kiev,2-1
11/12/2025,5,KF Drita,AZ Alkmaar,0-3
11/12/2025,5,KF Shkëndija 79,Slovan Bratislava,2-0
11/12/2025,5,FC Noah,Legia Warszawa,2-1
11/12/2025,5,CS Universitatea Craiova,AC Sparta Praha,1-2
11/12/2025,5,Jagiellonia Białystok,Rayo Vallecano,1-2
11/12/2025,5,Samsunspor,AEK Athen,1-2
11/12/2025,5,BK Häcken,AEK Larnaca,1-1
11/12/2025,5,Breiðablik,Shamrock Rovers,3-1
11/12/2025,5,Hamrun Spartans,Shajtar Donetsk,0-2
11/12/2025,5,Rapid Wien,Omonia Nikosia,0-1
11/12/2025,5,Shelbourne FC,Crystal Palace,0-3
11/12/2025,5,Lech Poznań,1. FSV Mainz 05,1-1
11/12/2025,5,Aberdeen FC,Racing Strasbourg,0-1
11/12/2025,5,HNK Rijeka,NK Celje,3-0
11/12/2025,5,Raków Częstochowa,Zrinjski Mostar,1-0
11/12/2025,5,Lincoln Red Imps,Sigma Olomouc,2-1
11/12/2025,5,Kuopion PS,FC Lausanne-Sport,0-0
18/12/2025,6,FC Lausanne-Sport,ACF Fiorentina,1-0
18/12/2025,6,AZ Alkmaar,Jagiellonia Białystok,0-0
18/12/2025,6,Shajtar Donetsk,HNK Rijeka,0-0
18/12/2025,6,Slovan Bratislava,BK Häcken,1-0
18/12/2025,6,Zrinjski Mostar,Rapid Wien,1-1
18/12/2025,6,Legia Warszawa,Lincoln Red Imps,4-1
18/12/2025,6,AC Sparta Praha,Aberdeen FC,3-0
18/12/2025,6,Dinamo Kiev,FC Noah,2-0
18/12/2025,6,Crystal Palace,Kuopion PS,2-2
18/12/2025,6,Sigma Olomouc,Lech Poznań,1-2
18/12/2025,6,Rayo Vallecano,KF Drita,3-0
18/12/2025,6,Omonia Nikosia,Raków Częstochowa,0-1
18/12/2025,6,1. FSV Mainz 05,Samsunspor,2-0
18/12/2025,6,Racing Strasbourg,Breiðablik,3-1
18/12/2025,6,NK Celje,Shelbourne FC,0-0
18/12/2025,6,AEK Athen,CS Universitatea Craiova,3-2
