Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
04/02/2026,,The Strongest,Deportivo Táchira,2-1
05/02/2026,,2 de Mayo,Alianza Lima,1-0
06/02/2026,,Juventud de Las Piedras,Universidad Católica,0-1
11/02/2026,,Deportivo Táchira,The Strongest,5-3
12/02/2026,,Alianza Lima,2 de Mayo,1-1
13/02/2026,,Universidad Católica,Juventud de Las Piedras,3-4
17/02/2026,,Carabobo FC,Huachipato,1-0
18/02/2026,,2 de Mayo,Sporting Cristal,2-2
18/02/2026,,Liverpool,Independiente Medellín,1-2
18/02/2026,,O'Higgins,Bahia - BA,1-0
19/02/2026,,Barcelona,Argentinos Juniors,0-1
19/02/2026,,Nacional Potosí,Botafogo - RJ,1-0
19/02/2026,,Juventud de Las Piedras,Guaraní,0-0
20/02/2026,,Deportivo Táchira,Deportes Tolima,0-1
24/02/2026,,Huachipato,Carabobo FC,1-2
25/02/2026,,Sporting Cristal,2 de Mayo,5-4
25/02/2026,,Independiente Medellín,Liverpool,0-0
25/02/2026,,Bahia - BA,O'Higgins,3-4
26/02/2026,,Argentinos Juniors,Barcelona,4-5
26/02/2026,,Botafogo - RJ,Nacional Potosí,2-0
26/02/2026,,Guaraní,Juventud de Las Piedras,1-2
27/02/2026,,Deportes Tolima,Deportivo Táchira,3-0
04/03/2026,,Barcelona,Botafogo - RJ,1-1
04/03/2026,,Carabobo FC,Sporting Cristal,0-1
05/03/2026,,O'Higgins,Deportes Tolima,1-0
06/03/2026,,Juventud de Las Piedras,Independiente Medellín,1-1
11/03/2026,,Botafogo - RJ,58.,0-1
11/03/2026,,Sporting Cristal,Carabobo FC,
12/03/2026,,Deportes Tolima,O'Higgins,
13/03/2026,,Independiente Medellín,Juventud de Las Piedras,
