Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
03/03/2026,,Independiente Petrolero,CD Guabirá,3-2
03/03/2026,,Montevideo City Torque,Defensor Sporting,1-0
04/03/2026,,Cobresal,Audax Italiano,2-3
04/03/2026,,Academia Puerto Cabello,Monagas,5-3
04/03/2026,,Alianza Atlético,Deportivo Garcilaso,2-0
04/03/2026,,Blooming,San Antonio Bulo Bulo,3-0
04/03/2026,,Caracas FC,Metropolitanos FC,4-3
05/03/2026,,Universidad de Chile,Palestino,1-2
05/03/2026,,Atlético Nacional,Millonarios,1-3
05/03/2026,,Sportivo Trinidense,Club Olimpia,0-1
05/03/2026,,Deportivo Cuenca,Libertad de Loja,3-0
05/03/2026,,Club Nacional,Deportivo Recoleta,4-5
05/03/2026,,Boston River,Racing,1-0
06/03/2026,,América de Cali,Atlético Bucaramanga,2-1
06/03/2026,,Cienciano,FBC Melgar,5-4
06/03/2026,,Orense SC,Macará,0-1
