Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
08/08/2025,1,FC Dordrecht,SC Cambuur,1-0
08/08/2025,1,De Graafschap,VVV-Venlo,3-2
08/08/2025,1,TOP Oss,MVV,4-0
08/08/2025,1,FC Eindhoven,FC Utrecht (J),1-0
08/08/2025,1,FC Den Bosch,Jong Ajax,2-0
10/08/2025,1,Helmond Sport,Roda JC Kerkrade,1-3
10/08/2025,1,ADO Den Haag,Willem II,5-1
11/08/2025,1,AZ Alkmaar (J),RKC Waalwijk,2-3
11/08/2025,1,Jong PSV,FC Emmen,3-1
10/10/2025,1,Almere City FC,Vitesse,2-2
15/08/2025,2,RKC Waalwijk,Helmond Sport,1-1
15/08/2025,2,Roda JC Kerkrade,De Graafschap,1-0
15/08/2025,2,SC Cambuur,TOP Oss,1-0
15/08/2025,2,VVV-Venlo,Jong PSV,0-2
16/08/2025,2,MVV,FC Dordrecht,0-1
17/08/2025,2,FC Emmen,Almere City FC,1-4
17/08/2025,2,Willem II,FC Eindhoven,0-1
18/08/2025,2,Jong Ajax,AZ Alkmaar (J),4-1
18/08/2025,2,FC Utrecht (J),ADO Den Haag,2-2
06/10/2025,2,Vitesse,FC Den Bosch,1-2
22/08/2025,3,Almere City FC,Willem II,0-1
22/08/2025,3,De Graafschap,MVV,0-1
22/08/2025,3,FC Eindhoven,RKC Waalwijk,1-0
22/08/2025,3,Helmond Sport,FC Emmen,2-0
23/08/2025,3,FC Dordrecht,Jong PSV,1-2
24/08/2025,3,VVV-Venlo,Roda JC Kerkrade,3-1
24/08/2025,3,FC Den Bosch,TOP Oss,5-2
25/08/2025,3,AZ Alkmaar (J),SC Cambuur,0-1
25/08/2025,3,FC Utrecht (J),Jong Ajax,4-3
26/01/2026,3,ADO Den Haag,Vitesse,0-0
29/08/2025,4,ADO Den Haag,Helmond Sport,2-0
29/08/2025,4,FC Emmen,FC Den Bosch,3-1
29/08/2025,4,Jong Ajax,MVV,0-0
29/08/2025,4,Jong PSV,AZ Alkmaar (J),1-0
29/08/2025,4,TOP Oss,FC Dordrecht,0-3
29/08/2025,4,Roda JC Kerkrade,FC Eindhoven,0-0
