Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
14/03/2026,1,Sarpsborg 08,FK Bodø/Glimt,
14/03/2026,1,Hamarkameratene,Viking FK,
14/03/2026,1,Molde FK,Rosenborg BK,
15/03/2026,1,Kristiansund BK,SK Brann,
15/03/2026,1,Aalesunds FK,Lillestrøm SK,
15/03/2026,1,KFUM Oslo,IK Start,
15/03/2026,1,Vålerenga IF,Sandefjord Fotball,
15/03/2026,1,Tromsø IL,Fredrikstad FK,
21/03/2026,2,IK Start,Aalesunds FK,
21/03/2026,2,Viking FK,Molde FK,
22/03/2026,2,Lillestrøm SK,Kristiansund BK,
22/03/2026,2,FK Bodø/Glimt,Hamarkameratene,
22/03/2026,2,Rosenborg BK,Vålerenga IF,
22/03/2026,2,SK Brann,Tromsø IL,
22/03/2026,2,Fredrikstad FK,KFUM Oslo,
22/03/2026,2,Sandefjord Fotball,Sarpsborg 08,
06/04/2026,3,Vålerenga IF,Viking FK,
06/04/2026,3,Hamarkameratene,SK Brann,
06/04/2026,3,Kristiansund BK,FK Bodø/Glimt,
06/04/2026,3,Molde FK,Lillestrøm SK,
06/04/2026,3,Sarpsborg 08,IK Start,
06/04/2026,3,Tromsø IL,Rosenborg BK,
07/04/2026,3,Aalesunds FK,Fredrikstad FK,
07/04/2026,3,KFUM Oslo,Sandefjord Fotball,
11/04/2026,4,Lillestrøm SK,IK Start,
11/04/2026,4,Tromsø IL,Kristiansund BK,
11/04/2026,4,Viking FK,FK Bodø/Glimt,
12/04/2026,4,Rosenborg BK,Sarpsborg 08,
12/04/2026,4,Aalesunds FK,KFUM Oslo,
12/04/2026,4,Fredrikstad FK,Vålerenga IF,
12/04/2026,4,Molde FK,Hamarkameratene,
12/04/2026,4,SK Brann,Sandefjord Fotball,
18/04/2026,5,FK Bodø/Glimt,Aalesunds FK,
18/04/2026,5,Sandefjord Fotball,Rosenborg BK,
18/04/2026,5,Viking FK,SK Brann,
19/04/2026,5,Vålerenga IF,Lillestrøm SK,
19/04/2026,5,Hamarkameratene,KFUM Oslo,
19/04/2026,5,Kristiansund BK,Fredrikstad FK,
19/04/2026,5,Sarpsborg 08,Tromsø IL,
19/04/2026,5,IK Start,Molde FK,
25/04/2026,6,Fredrikstad FK,Viking FK,
25/04/2026,6,Rosenborg BK,SK Brann,
26/04/2026,6,Molde FK,Vålerenga IF,
26/04/2026,6,Aalesunds FK,Kristiansund BK,
26/04/2026,6,Hamarkameratene,IK Start,
26/04/2026,6,KFUM Oslo,Sarpsborg 08,
26/04/2026,6,Tromsø IL,Sandefjord Fotball,
26/04/2026,6,Lillestrøm SK,FK Bodø/Glimt,
01/05/2026,7,Viking FK,Rosenborg BK,
02/05/2026,7,SK Brann,Fredrikstad FK,
03/05/2026,7,Lillestrøm SK,Sarpsborg 08,
03/05/2026,7,IK Start,Tromsø IL,
03/05/2026,7,Kristiansund BK,Hamarkameratene,
03/05/2026,7,Sandefjord Fotball,Aalesunds FK,
03/05/2026,7,Vålerenga IF,KFUM Oslo,
04/05/2026,7,FK Bodø/Glimt,Molde FK,
08/05/2026,8,Hamarkameratene,Vålerenga IF,
