Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
08/08/2025,1,Fortuna Sittard,Go Ahead Eagles,2-2
09/08/2025,1,NEC Nijmegen,SBV Excelsior,5-0
09/08/2025,1,Feyenoord,NAC Breda,2-0
09/08/2025,1,Sc Heerenveen,FC Volendam,1-1
09/08/2025,1,PSV Eindhoven,Sparta Rotterdam,6-1
10/08/2025,1,PEC Zwolle,FC Twente,1-0
10/08/2025,1,AFC Ajax,Telstar,2-0
10/08/2025,1,AZ Alkmaar,FC Groningen,4-1
10/08/2025,1,FC Utrecht,Heracles Almelo,4-0
15/08/2025,2,Telstar,PEC Zwolle,0-2
16/08/2025,2,SBV Excelsior,Feyenoord,1-2
16/08/2025,2,Heracles Almelo,NEC Nijmegen,1-4
16/08/2025,2,FC Groningen,Sc Heerenveen,2-1
17/08/2025,2,Go Ahead Eagles,AFC Ajax,2-2
17/08/2025,2,Sparta Rotterdam,FC Utrecht,2-1
17/08/2025,2,FC Twente,PSV Eindhoven,0-2
17/08/2025,2,FC Volendam,AZ Alkmaar,2-2
17/08/2025,2,NAC Breda,Fortuna Sittard,2-1
23/08/2025,3,Go Ahead Eagles,Sparta Rotterdam,0-3
23/08/2025,3,PSV Eindhoven,FC Groningen,4-2
23/08/2025,3,Telstar,FC Volendam,2-2
24/08/2025,3,Sc Heerenveen,FC Twente,1-2
24/08/2025,3,FC Utrecht,SBV Excelsior,4-1
24/08/2025,3,NEC Nijmegen,NAC Breda,3-0
24/08/2025,3,AFC Ajax,Heracles Almelo,2-0
17/09/2025,3,Feyenoord,Fortuna Sittard,2-0
24/09/2025,3,AZ Alkmaar,PEC Zwolle,2-2
29/08/2025,4,FC Groningen,Heracles Almelo,4-0
30/08/2025,4,FC Volendam,AFC Ajax,1-1
30/08/2025,4,Sc Heerenveen,Go Ahead Eagles,2-2
30/08/2025,4,PSV Eindhoven,Telstar,0-2
30/08/2025,4,SBV Excelsior,FC Twente,1-0
31/08/2025,4,Fortuna Sittard,NEC Nijmegen,3-2
31/08/2025,4,PEC Zwolle,FC Utrecht,0-2
31/08/2025,4,Sparta Rotterdam,Feyenoord,0-4
31/08/2025,4,NAC Breda,AZ Alkmaar,0-1
13/09/2025,5,AFC Ajax,PEC Zwolle,3-1
13/09/2025,5,NEC Nijmegen,PSV Eindhoven,3-5
13/09/2025,5,Go Ahead Eagles,FC Volendam,3-0
13/09/2025,5,Feyenoord,Sc Heerenveen,1-0
13/09/2025,5,FC Twente,NAC Breda,2-2
14/09/2025,5,SBV Excelsior,Sparta Rotterdam,0-1
14/09/2025,5,FC Utrecht,FC Groningen,0-1
14/09/2025,5,Heracles Almelo,AZ Alkmaar,1-2
14/09/2025,5,Telstar,Fortuna Sittard,1-3
19/09/2025,6,Sparta Rotterdam,FC Twente,1-5
20/09/2025,6,FC Volendam,SBV Excelsior,1-2
20/09/2025,6,FC Groningen,Telstar,2-0
20/09/2025,6,Fortuna Sittard,FC Utrecht,1-0
20/09/2025,6,NAC Breda,Heracles Almelo,2-1
21/09/2025,6,PEC Zwolle,Go Ahead Eagles,0-2
21/09/2025,6,PSV Eindhoven,AFC Ajax,2-2
21/09/2025,6,Sc Heerenveen,NEC Nijmegen,3-2
21/09/2025,6,AZ Alkmaar,Feyenoord,3-3
26/09/2025,7,FC Twente,Fortuna Sittard,3-2
27/09/2025,7,AFC Ajax,NAC Breda,2-1
27/09/2025,7,FC Volendam,PEC Zwolle,2-1
27/09/2025,7,SBV Excelsior,PSV Eindhoven,1-2
27/09/2025,7,Heracles Almelo,Sparta Rotterdam,3-0
28/09/2025,7,NEC Nijmegen,AZ Alkmaar,2-1
28/09/2025,7,FC Groningen,Feyenoord,0-1
