Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
24/09/2025,1,PAOK Saloniki,Maccabi Tel Aviv,0-0
24/09/2025,1,FC Midtjylland,Sturm Graz,2-0
24/09/2025,1,OGC Nice,AS Roma,1-2
24/09/2025,1,Sporting Braga,Feyenoord,1-0
24/09/2025,1,Dinamo Zagreb,Fenerbahçe,3-1
24/09/2025,1,Real Betis,Nottingham Forest,2-2
24/09/2025,1,Estrella Roja de Belgrado,Celtic FC,1-1
24/09/2025,1,SC Friburgo,FC Basel 1893,2-1
24/09/2025,1,Malmö FF,PFC Ludogorets Razgrad,1-2
25/09/2025,1,Lille OSC,SK Brann,2-1
25/09/2025,1,Go Ahead Eagles,FCSB,0-1
25/09/2025,1,Red Bull Salzburgo,FC Porto,0-1
25/09/2025,1,Rangers FC,KRC Genk,0-1
25/09/2025,1,Aston Villa,Bologna FC,1-0
25/09/2025,1,FC Utrecht,Olympique Lyonnais,0-1
25/09/2025,1,Ferencvárosi TC,Viktoria Plzeň,1-1
25/09/2025,1,BSC Young Boys,Panathinaikos,1-4
25/09/2025,1,VfB Stuttgart,RC Celta,2-1
02/10/2025,2,AS Roma,Lille OSC,0-1
02/10/2025,2,PFC Ludogorets Razgrad,Real Betis,0-2
02/10/2025,2,Fenerbahçe,OGC Nice,2-1
02/10/2025,2,Celtic FC,Sporting Braga,0-2
02/10/2025,2,Viktoria Plzeň,Malmö FF,3-0
02/10/2025,2,FCSB,BSC Young Boys,0-2
02/10/2025,2,Bologna FC,SC Friburgo,1-1
02/10/2025,2,Panathinaikos,Go Ahead Eagles,1-2
02/10/2025,2,SK Brann,FC Utrecht,1-0
02/10/2025,2,FC Porto,Estrella Roja de Belgrado,2-1
02/10/2025,2,Sturm Graz,Rangers FC,2-1
02/10/2025,2,Feyenoord,Aston Villa,0-2
02/10/2025,2,Maccabi Tel Aviv,Dinamo Zagreb,1-3
02/10/2025,2,Olympique Lyonnais,Red Bull Salzburgo,2-0
02/10/2025,2,RC Celta,PAOK Saloniki,3-1
02/10/2025,2,KRC Genk,Ferencvárosi TC,0-1
02/10/2025,2,FC Basel 1893,VfB Stuttgart,2-0
02/10/2025,2,Nottingham Forest,FC Midtjylland,2-3
23/10/2025,3,SK Brann,Rangers FC,3-0
23/10/2025,3,KRC Genk,Real Betis,0-0
23/10/2025,3,Red Bull Salzburgo,Ferencvárosi TC,2-3
23/10/2025,3,Go Ahead Eagles,Aston Villa,2-1
23/10/2025,3,Fenerbahçe,VfB Stuttgart,1-0
23/10/2025,3,Sporting Braga,Estrella Roja de Belgrado,2-0
23/10/2025,3,Olympique Lyonnais,FC Basel 1893,2-0
23/10/2025,3,FCSB,Bologna FC,1-2
23/10/2025,3,AS Roma,Viktoria Plzeň,1-2
23/10/2025,3,Nottingham Forest,FC Porto,2-0
23/10/2025,3,Feyenoord,Panathinaikos,3-1
23/10/2025,3,Lille OSC,PAOK Saloniki,3-4
23/10/2025,3,Malmö FF,Dinamo Zagreb,1-1
23/10/2025,3,Celtic FC,Sturm Graz,2-1
23/10/2025,3,Maccabi Tel Aviv,FC Midtjylland,0-3
23/10/2025,3,BSC Young Boys,PFC Ludogorets Razgrad,3-2
23/10/2025,3,SC Friburgo,FC Utrecht,2-0
23/10/2025,3,RC Celta,OGC Nice,2-1
06/11/2025,4,FC Utrecht,FC Porto,1-1
06/11/2025,4,Estrella Roja de Belgrado,Lille OSC,1-0
06/11/2025,4,Dinamo Zagreb,RC Celta,0-3
06/11/2025,4,Red Bull Salzburgo,Go Ahead Eagles,2-0
06/11/2025,4,FC Midtjylland,Celtic FC,3-1
06/11/2025,4,FC Basel 1893,FCSB,3-1
06/11/2025,4,OGC Nice,SC Friburgo,1-3
06/11/2025,4,Sturm Graz,Nottingham Forest,0-0
06/11/2025,4,Malmö FF,Panathinaikos,0-1
06/11/2025,4,Rangers FC,AS Roma,0-2
06/11/2025,4,VfB Stuttgart,Feyenoord,2-0
