Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
31/10/2025,,Luton Town,Forest Green Rovers,4-3
01/11/2025,,Chelmsford City,Braintree Town,4-1
01/11/2025,,Weston-super-Mare AFC,Aldershot Town,2-1
01/11/2025,,Salford City,Lincoln City,4-2
01/11/2025,,Colchester United,Milton Keynes Dons,2-3
01/11/2025,,Tranmere Rovers,Stockport County,1-3
01/11/2025,,Wigan Athletic,Hemel Hempstead Town,5-3
01/11/2025,,Newport County,Gillingham FC,4-3
01/11/2025,,Cheltenham Town,Bradford City,1-0
01/11/2025,,Barnsley FC,York City,3-2
01/11/2025,,Reading FC,Carlisle United,2-3
01/11/2025,,Bromley FC,Bristol Rovers,1-2
01/11/2025,,Peterborough United,Cardiff City,1-0
01/11/2025,,Oldham Athletic,Northampton Town,3-1
01/11/2025,,Crewe Alexandra,Doncaster Rovers,1-2
01/11/2025,,Stevenage FC,Chesterfield FC,0-1
01/11/2025,,Boreham Wood,Crawley Town,3-0
01/11/2025,,Sutton United,AFC Telford United,2-1
01/11/2025,,Bolton Wanderers,Huddersfield Town,2-1
01/11/2025,,Spennymoor Town,Barrow AFC,0-2
01/11/2025,,Wycombe Wanderers,Plymouth Argyle,2-0
01/11/2025,,Halifax Town,Exeter City,0-2
01/11/2025,,Slough Town,Altrincham FC,2-1
01/11/2025,,Wealdstone FC,Southend United,1-0
01/11/2025,,Rotherham United,Swindon Town,1-2
01/11/2025,,Grimsby Town,Ebbsfleet United,3-1
01/11/2025,,Buxton FC,Chatham Town,2-1
01/11/2025,,Burton Albion,St. Albans City,6-0
01/11/2025,,Blackpool FC,Scunthorpe United,1-0
01/11/2025,,Cambridge United,Chester FC,3-0
01/11/2025,,AFC Wimbledon,Gateshead FC,0-2
01/11/2025,,Mansfield Town,Harrogate Town,3-2
01/11/2025,,Macclesfield FC,AFC Totton,6-3
01/11/2025,,Fleetwood Town,Barnet FC,2-1
01/11/2025,,Brackley Town,Notts County,4-3
02/11/2025,,South Shields FC,Shrewsbury Town,1-3
02/11/2025,,Eastleigh FC,Walsall FC,0-3
02/11/2025,,Port Vale FC,Maldon & Tiptree FC,5-1
02/11/2025,,Gainsborough Trinity,Accrington Stanley,1-2
03/11/2025,,Tamworth FC,Leyton Orient,0-1
05/12/2025,,Salford City,Leyton Orient,4-0
06/12/2025,,Grimsby Town,Wealdstone FC,4-0
06/12/2025,,Swindon Town,Bolton Wanderers,4-0
06/12/2025,,Chelmsford City,Weston-super-Mare AFC,0-2
06/12/2025,,Peterborough United,Barnsley FC,0-1
06/12/2025,,Milton Keynes Dons,Oldham Athletic,3-1
06/12/2025,,Wigan Athletic,Barrow AFC,4-3
06/12/2025,,Fleetwood Town,Luton Town,4-2
06/12/2025,,Accrington Stanley,Mansfield Town,1-3
06/12/2025,,Stockport County,Cambridge United,4-5
06/12/2025,,Exeter City,Wycombe Wanderers,4-0
06/12/2025,,Cheltenham Town,Buxton FC,6-2
06/12/2025,,Port Vale FC,Bristol Rovers,1-0
06/12/2025,,Sutton United,Shrewsbury Town,1-2
06/12/2025,,Chesterfield FC,Doncaster Rovers,1-2
07/12/2025,,Slough Town,Macclesfield FC,1-3
07/12/2025,,Boreham Wood,Newport County,3-0
07/12/2025,,Gateshead FC,Walsall FC,0-2
07/12/2025,,Blackpool FC,Carlisle United,4-1
08/12/2025,,Brackley Town,Burton Albion,1-3
09/01/2026,,Port Vale FC,Fleetwood Town,1-0
09/01/2026,,Preston North End,Wigan Athletic,0-1
09/01/2026,,Wrexham AFC,Nottingham Forest,4-3
09/01/2026,,Milton Keynes Dons,Oxford United,3-4
10/01/2026,,Wolverhampton Wanderers,Shrewsbury Town,6-1
10/01/2026,,Everton FC,Sunderland AFC,0-3
10/01/2026,,Cheltenham Town,Leicester City,0-2
10/01/2026,,Macclesfield FC,Crystal Palace,2-1
10/01/2026,,Doncaster Rovers,Southampton FC,2-3
10/01/2026,,Manchester City,Exeter City,10-1
10/01/2026,,Sheffield Wednesday,Brentford FC,0-2
10/01/2026,,Fulham FC,Middlesbrough FC,3-1
10/01/2026,,Burnley FC,Millwall FC,5-1
10/01/2026,,Boreham Wood,Burton Albion,0-5
10/01/2026,,Newcastle United,AFC Bournemouth,7-6
10/01/2026,,Stoke City,Coventry City,1-0
10/01/2026,,Ipswich Town,Blackpool FC,2-1
10/01/2026,,Tottenham Hotspur,Aston Villa,1-2
10/01/2026,,Grimsby Town,Weston-super-Mare AFC,3-2
10/01/2026,,Cambridge United,Birmingham City,2-3
10/01/2026,,Bristol City,Watford FC,5-1
10/01/2026,,Charlton Athletic,Chelsea FC,1-5
11/01/2026,,Derby County,Leeds United,1-3
11/01/2026,,Portsmouth FC,Arsenal FC,1-4
11/01/2026,,West Ham United,Queens Park Rangers,2-1
11/01/2026,,Norwich City,Walsall FC,5-1
11/01/2026,,Swansea City,West Bromwich Albion,5-6
11/01/2026,,Hull City,Blackburn Rovers,4-3
11/01/2026,,Sheffield United,Mansfield Town,3-4
11/01/2026,,Manchester United,Brighton & Hove Albion,1-2
12/01/2026,,Liverpool FC,Barnsley FC,4-1
20/01/2026,,Salford City,Swindon Town,3-2
13/02/2026,,Hull City,Chelsea FC,0-4
13/02/2026,,Wrexham AFC,Ipswich Town,1-0
14/02/2026,,Burton Albion,West Ham United,0-1
