Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
15/08/2025,1,Burgos CF,Cultural Leonesa,5-1
15/08/2025,1,Real Valladolid,AD Ceuta FC,3-0
16/08/2025,1,Racing Santander,CD Castellón,3-1
16/08/2025,1,Málaga CF,SD Eibar,1-1
16/08/2025,1,Granada CF,Deportivo La Coruña,1-3
17/08/2025,1,Real Sociedad B,Real Zaragoza,1-0
17/08/2025,1,Cádiz CF,CD Mirandés,1-0
17/08/2025,1,SD Huesca,CD Leganés,1-1
17/08/2025,1,UD Las Palmas,FC Andorra,1-1
18/08/2025,1,Sporting Gijón,Córdoba CF,2-1
18/08/2025,1,UD Almería,Albacete,4-4
22/08/2025,2,SD Eibar,Granada CF,3-0
22/08/2025,2,CD Castellón,Real Valladolid,0-1
22/08/2025,2,CD Leganés,Cádiz CF,1-1
23/08/2025,2,CD Mirandés,SD Huesca,0-1
23/08/2025,2,AD Ceuta FC,Sporting Gijón,0-1
23/08/2025,2,Real Zaragoza,FC Andorra,1-3
24/08/2025,2,Deportivo La Coruña,Burgos CF,0-0
24/08/2025,2,Cultural Leonesa,UD Almería,0-1
24/08/2025,2,Málaga CF,Real Sociedad B,1-0
25/08/2025,2,Albacete,Racing Santander,2-3
25/08/2025,2,Córdoba CF,UD Las Palmas,1-3
29/08/2025,3,Real Sociedad B,UD Almería,2-2
29/08/2025,3,Sporting Gijón,Cultural Leonesa,1-0
30/08/2025,3,Racing Santander,AD Ceuta FC,4-1
30/08/2025,3,Real Valladolid,Córdoba CF,0-0
30/08/2025,3,CD Castellón,Real Zaragoza,1-1
31/08/2025,3,FC Andorra,Burgos CF,2-1
31/08/2025,3,Cádiz CF,Albacete,2-1
31/08/2025,3,UD Las Palmas,Málaga CF,0-1
31/08/2025,3,Granada CF,CD Mirandés,1-2
01/09/2025,3,SD Huesca,SD Eibar,2-1
01/09/2025,3,CD Leganés,Deportivo La Coruña,2-2
05/09/2025,4,Albacete,CD Mirandés,1-4
05/09/2025,4,Córdoba CF,CD Castellón,2-1
06/09/2025,4,Deportivo La Coruña,Sporting Gijón,1-0
06/09/2025,4,Real Zaragoza,Real Valladolid,1-1
06/09/2025,4,Málaga CF,Granada CF,2-2
07/09/2025,4,AD Ceuta FC,SD Huesca,2-1
07/09/2025,4,Burgos CF,UD Las Palmas,0-0
07/09/2025,4,Real Sociedad B,Cádiz CF,3-3
07/09/2025,4,UD Almería,Racing Santander,2-3
07/09/2025,4,Cultural Leonesa,CD Leganés,0-0
08/09/2025,4,SD Eibar,FC Andorra,2-0
12/09/2025,5,UD Las Palmas,Real Sociedad B,2-1
13/09/2025,5,Cádiz CF,SD Eibar,1-0
13/09/2025,5,CD Mirandés,Deportivo La Coruña,1-5
13/09/2025,5,SD Huesca,Málaga CF,1-0
13/09/2025,5,Real Valladolid,UD Almería,3-1
14/09/2025,5,FC Andorra,Córdoba CF,3-1
14/09/2025,5,Racing Santander,Cultural Leonesa,2-4
14/09/2025,5,CD Castellón,AD Ceuta FC,3-3
14/09/2025,5,Sporting Gijón,Burgos CF,2-3
14/09/2025,5,Granada CF,CD Leganés,0-2
15/09/2025,5,Real Zaragoza,Albacete,0-0
19/09/2025,6,Deportivo La Coruña,SD Huesca,4-0
20/09/2025,6,Cultural Leonesa,CD Castellón,1-3
20/09/2025,6,CD Leganés,UD Las Palmas,0-1
20/09/2025,6,FC Andorra,CD Mirandés,1-1
20/09/2025,6,UD Almería,Sporting Gijón,2-1
21/09/2025,6,AD Ceuta FC,Real Zaragoza,1-0
21/09/2025,6,Albacete,Real Valladolid,2-0
21/09/2025,6,SD Eibar,Real Sociedad B,2-1
21/09/2025,6,Málaga CF,Cádiz CF,0-1
21/09/2025,6,Córdoba CF,Racing Santander,2-2
22/09/2025,6,Burgos CF,Granada CF,1-1
