Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
01/08/2025,1,Luton Town,AFC Wimbledon,1-0
02/08/2025,1,Cardiff City,Peterborough United,2-1
02/08/2025,1,Blackpool FC,Stevenage FC,2-3
02/08/2025,1,Bradford City,Wycombe Wanderers,2-1
02/08/2025,1,Burton Albion,Mansfield Town,2-1
02/08/2025,1,Doncaster Rovers,Exeter City,1-0
02/08/2025,1,Huddersfield Town,Leyton Orient,3-0
02/08/2025,1,Lincoln City,Reading FC,2-0
02/08/2025,1,Plymouth Argyle,Barnsley FC,1-3
02/08/2025,1,Rotherham United,Port Vale FC,2-1
02/08/2025,1,Wigan Athletic,Northampton Town,3-1
03/08/2025,1,Stockport County,Bolton Wanderers,2-0
07/08/2025,2,Port Vale FC,Cardiff City,0-0
09/08/2025,2,Peterborough United,Luton Town,0-2
09/08/2025,2,Reading FC,Huddersfield Town,0-2
09/08/2025,2,AFC Wimbledon,Lincoln City,2-0
09/08/2025,2,Barnsley FC,Burton Albion,3-2
09/08/2025,2,Bolton Wanderers,Plymouth Argyle,2-0
09/08/2025,2,Exeter City,Blackpool FC,4-1
09/08/2025,2,Leyton Orient,Wigan Athletic,2-0
09/08/2025,2,Mansfield Town,Doncaster Rovers,1-2
09/08/2025,2,Northampton Town,Bradford City,0-0
09/08/2025,2,Stevenage FC,Rotherham United,1-0
09/08/2025,2,Wycombe Wanderers,Stockport County,1-2
16/08/2025,3,Burton Albion,Port Vale FC,0-0
16/08/2025,3,Exeter City,Mansfield Town,1-2
16/08/2025,3,Barnsley FC,Bolton Wanderers,1-1
16/08/2025,3,Blackpool FC,Huddersfield Town,3-2
16/08/2025,3,Bradford City,Luton Town,2-1
16/08/2025,3,Cardiff City,Rotherham United,3-0
16/08/2025,3,Doncaster Rovers,Wycombe Wanderers,1-1
16/08/2025,3,Leyton Orient,Stockport County,2-2
16/08/2025,3,Lincoln City,Plymouth Argyle,3-2
16/08/2025,3,Reading FC,AFC Wimbledon,1-2
16/08/2025,3,Stevenage FC,Northampton Town,2-0
16/08/2025,3,Wigan Athletic,Peterborough United,2-0
19/08/2025,4,AFC Wimbledon,Cardiff City,0-1
19/08/2025,4,Huddersfield Town,Doncaster Rovers,2-0
19/08/2025,4,Luton Town,Wigan Athletic,1-0
19/08/2025,4,Mansfield Town,Blackpool FC,2-0
19/08/2025,4,Northampton Town,Lincoln City,0-1
19/08/2025,4,Peterborough United,Barnsley FC,0-1
19/08/2025,4,Plymouth Argyle,Leyton Orient,0-1
19/08/2025,4,Port Vale FC,Stevenage FC,1-2
19/08/2025,4,Stockport County,Bradford City,1-2
19/08/2025,4,Wycombe Wanderers,Exeter City,0-1
20/08/2025,4,Bolton Wanderers,Reading FC,1-1
04/11/2025,4,Rotherham United,Burton Albion,2-2
23/08/2025,5,Luton Town,Cardiff City,0-1
23/08/2025,5,Rotherham United,Wigan Athletic,2-2
23/08/2025,5,AFC Wimbledon,Barnsley FC,2-0
23/08/2025,5,Bolton Wanderers,Lincoln City,1-1
23/08/2025,5,Huddersfield Town,Stevenage FC,1-0
23/08/2025,5,Mansfield Town,Leyton Orient,4-1
23/08/2025,5,Northampton Town,Exeter City,2-0
23/08/2025,5,Peterborough United,Bradford City,1-1
23/08/2025,5,Plymouth Argyle,Blackpool FC,1-0
23/08/2025,5,Port Vale FC,Doncaster Rovers,0-1
23/08/2025,5,Stockport County,Burton Albion,2-1
23/08/2025,5,Wycombe Wanderers,Reading FC,2-2
30/08/2025,6,Cardiff City,Plymouth Argyle,4-0
30/08/2025,6,Doncaster Rovers,Rotherham United,1-0
30/08/2025,6,Barnsley FC,Huddersfield Town,3-1
30/08/2025,6,Blackpool FC,Bolton Wanderers,1-1
30/08/2025,6,Bradford City,AFC Wimbledon,3-2
30/08/2025,6,Burton Albion,Luton Town,0-3
30/08/2025,6,Exeter City,Peterborough United,3-0
30/08/2025,6,Leyton Orient,Northampton Town,0-1
30/08/2025,6,Reading FC,Port Vale FC,1-0
30/08/2025,6,Stevenage FC,Wycombe Wanderers,1-0
30/08/2025,6,Wigan Athletic,Stockport County,1-1
30/08/2025,6,Lincoln City,Mansfield Town,1-1
06/09/2025,7,Bolton Wanderers,AFC Wimbledon,3-0
06/09/2025,7,Doncaster Rovers,Bradford City,3-1
06/09/2025,7,Huddersfield Town,Peterborough United,3-2
06/09/2025,7,Lincoln City,Wigan Athletic,2-2
06/09/2025,7,Plymouth Argyle,Stockport County,4-2
06/09/2025,7,Port Vale FC,Leyton Orient,2-3
06/09/2025,7,Rotherham United,Exeter City,1-0
06/09/2025,7,Wycombe Wanderers,Mansfield Town,2-0
30/09/2025,7,Blackpool FC,Luton Town,2-2
30/09/2025,7,Cardiff City,Burton Albion,0-1
21/10/2025,7,Reading FC,Northampton Town,1-0
21/04/2026,7,Stevenage FC,Barnsley FC,
13/09/2025,8,Bradford City,Huddersfield Town,3-1
13/09/2025,8,Northampton Town,Blackpool FC,1-0
13/09/2025,8,AFC Wimbledon,Rotherham United,2-1
13/09/2025,8,Barnsley FC,Reading FC,3-2
13/09/2025,8,Burton Albion,Lincoln City,0-1
13/09/2025,8,Exeter City,Port Vale FC,0-2
13/09/2025,8,Leyton Orient,Bolton Wanderers,1-1
13/09/2025,8,Luton Town,Plymouth Argyle,2-3
13/09/2025,8,Mansfield Town,Stevenage FC,1-1
13/09/2025,8,Peterborough United,Wycombe Wanderers,2-1
13/09/2025,8,Stockport County,Cardiff City,1-1
13/09/2025,8,Wigan Athletic,Doncaster Rovers,3-0
20/09/2025,9,Blackpool FC,Barnsley FC,1-0
20/09/2025,9,Bolton Wanderers,Wigan Athletic,4-1
20/09/2025,9,Lincoln City,Luton Town,3-1
20/09/2025,9,Cardiff City,Bradford City,1-3
20/09/2025,9,Doncaster Rovers,AFC Wimbledon,1-2
20/09/2025,9,Huddersfield Town,Burton Albion,0-0
20/09/2025,9,Plymouth Argyle,Peterborough United,0-1
20/09/2025,9,Port Vale FC,Mansfield Town,2-1
20/09/2025,9,Reading FC,Leyton Orient,2-1
20/09/2025,9,Rotherham United,Stockport County,0-1
20/09/2025,9,Stevenage FC,Exeter City,2-1
20/09/2025,9,Wycombe Wanderers,Northampton Town,2-0
27/09/2025,10,AFC Wimbledon,Wycombe Wanderers,2-1
27/09/2025,10,Leyton Orient,Stevenage FC,2-3
27/09/2025,10,Barnsley FC,Port Vale FC,0-2
27/09/2025,10,Bradford City,Blackpool FC,1-0
27/09/2025,10,Burton Albion,Plymouth Argyle,0-4
27/09/2025,10,Exeter City,Huddersfield Town,0-1
27/09/2025,10,Luton Town,Doncaster Rovers,1-0
27/09/2025,10,Mansfield Town,Rotherham United,2-1
27/09/2025,10,Northampton Town,Bolton Wanderers,2-0
27/09/2025,10,Peterborough United,Lincoln City,0-3
27/09/2025,10,Stockport County,Reading FC,1-1
27/09/2025,10,Wigan Athletic,Cardiff City,0-2
02/10/2025,11,Rotherham United,Bradford City,2-2
04/10/2025,11,Doncaster Rovers,Burton Albion,1-1
04/10/2025,11,Wycombe Wanderers,Barnsley FC,2-2
04/10/2025,11,Blackpool FC,AFC Wimbledon,0-2
04/10/2025,11,Bolton Wanderers,Peterborough United,2-1
04/10/2025,11,Cardiff City,Leyton Orient,4-3
04/10/2025,11,Huddersfield Town,Stockport County,1-2
04/10/2025,11,Lincoln City,Exeter City,0-1
04/10/2025,11,Plymouth Argyle,Wigan Athletic,1-1
04/10/2025,11,Port Vale FC,Northampton Town,0-0
04/10/2025,11,Reading FC,Mansfield Town,1-1
04/10/2025,11,Stevenage FC,Luton Town,2-0
11/10/2025,12,Northampton Town,Rotherham United,1-2
11/10/2025,12,AFC Wimbledon,Port Vale FC,1-1
11/10/2025,12,Burton Albion,Bolton Wanderers,3-0
11/10/2025,12,Exeter City,Reading FC,1-1
11/10/2025,12,Leyton Orient,Doncaster Rovers,4-0
11/10/2025,12,Stockport County,Blackpool FC,1-0
11/10/2025,12,Wigan Athletic,Wycombe Wanderers,0-1
28/10/2025,12,Bradford City,Lincoln City,0-0
28/10/2025,12,Mansfield Town,Plymouth Argyle,2-0
25/11/2025,12,Luton Town,Huddersfield Town,2-1
25/11/2025,12,Peterborough United,Stevenage FC,0-1
10/03/2026,12,Barnsley FC,Cardiff City,1-1
16/10/2025,13,Huddersfield Town,Bolton Wanderers,1-2
18/10/2025,13,Burton Albion,Peterborough United,0-1
18/10/2025,13,Lincoln City,Stevenage FC,1-0
18/10/2025,13,Blackpool FC,Wycombe Wanderers,1-1
18/10/2025,13,Bradford City,Barnsley FC,2-2
18/10/2025,13,Cardiff City,Reading FC,2-1
18/10/2025,13,Doncaster Rovers,Northampton Town,1-2
18/10/2025,13,Luton Town,Mansfield Town,0-2
18/10/2025,13,Plymouth Argyle,AFC Wimbledon,1-2
18/10/2025,13,Rotherham United,Leyton Orient,1-0
18/10/2025,13,Stockport County,Exeter City,1-0
18/10/2025,13,Wigan Athletic,Port Vale FC,1-0
23/10/2025,14,Exeter City,Plymouth Argyle,2-0
25/10/2025,14,Bolton Wanderers,Cardiff City,1-0
25/10/2025,14,Mansfield Town,Wigan Athletic,1-1
25/10/2025,14,AFC Wimbledon,Burton Albion,0-1
25/10/2025,14,Barnsley FC,Rotherham United,0-1
25/10/2025,14,Leyton Orient,Lincoln City,1-0
25/10/2025,14,Northampton Town,Luton Town,0-1
25/10/2025,14,Peterborough United,Blackpool FC,1-2
25/10/2025,14,Reading FC,Doncaster Rovers,1-1
25/10/2025,14,Stevenage FC,Bradford City,1-1
25/10/2025,14,Wycombe Wanderers,Huddersfield Town,3-0
