Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
02/08/2025,1,Accrington Stanley,Gillingham FC,1-1
02/08/2025,1,Bristol Rovers,Harrogate Town,0-1
02/08/2025,1,Cambridge United,Cheltenham Town,1-0
02/08/2025,1,Colchester United,Tranmere Rovers,1-1
02/08/2025,1,Barnet FC,Fleetwood Town,0-2
02/08/2025,1,Chesterfield FC,Barrow AFC,1-0
02/08/2025,1,Grimsby Town,Crawley Town,3-0
02/08/2025,1,Milton Keynes Dons,Oldham Athletic,0-0
02/08/2025,1,Newport County,Notts County,1-1
02/08/2025,1,Salford City,Crewe Alexandra,1-3
02/08/2025,1,Shrewsbury Town,Bromley FC,0-0
02/08/2025,1,Walsall FC,Swindon Town,2-1
09/08/2025,2,Notts County,Salford City,1-2
09/08/2025,2,Tranmere Rovers,Shrewsbury Town,4-0
09/08/2025,2,Barrow AFC,Milton Keynes Dons,0-2
09/08/2025,2,Bromley FC,Barnet FC,2-0
09/08/2025,2,Cheltenham Town,Chesterfield FC,0-2
09/08/2025,2,Crawley Town,Newport County,1-2
09/08/2025,2,Crewe Alexandra,Accrington Stanley,2-0
09/08/2025,2,Gillingham FC,Walsall FC,1-0
09/08/2025,2,Fleetwood Town,Bristol Rovers,2-1
09/08/2025,2,Harrogate Town,Grimsby Town,3-3
09/08/2025,2,Oldham Athletic,Colchester United,1-1
09/08/2025,2,Swindon Town,Cambridge United,3-2
16/08/2025,3,Chesterfield FC,Bristol Rovers,3-1
16/08/2025,3,Oldham Athletic,Swindon Town,1-2
16/08/2025,3,Barrow AFC,Notts County,2-1
16/08/2025,3,Bromley FC,Fleetwood Town,2-2
16/08/2025,3,Cambridge United,Harrogate Town,1-1
16/08/2025,3,Crewe Alexandra,Crawley Town,1-0
16/08/2025,3,Barnet FC,Walsall FC,1-2
16/08/2025,3,Grimsby Town,Newport County,2-1
16/08/2025,3,Milton Keynes Dons,Cheltenham Town,5-0
16/08/2025,3,Salford City,Accrington Stanley,2-1
16/08/2025,3,Shrewsbury Town,Colchester United,0-2
16/08/2025,3,Tranmere Rovers,Gillingham FC,1-1
19/08/2025,4,Newport County,Salford City,0-1
19/08/2025,4,Bristol Rovers,Oldham Athletic,0-0
19/08/2025,4,Cheltenham Town,Bromley FC,1-2
19/08/2025,4,Colchester United,Cambridge United,1-2
19/08/2025,4,Crawley Town,Milton Keynes Dons,1-1
19/08/2025,4,Gillingham FC,Chesterfield FC,4-1
19/08/2025,4,Fleetwood Town,Crewe Alexandra,1-4
19/08/2025,4,Harrogate Town,Barrow AFC,1-0
19/08/2025,4,Swindon Town,Barnet FC,0-2
19/08/2025,4,Walsall FC,Grimsby Town,0-1
20/08/2025,4,Notts County,Shrewsbury Town,4-1
28/10/2025,4,Accrington Stanley,Tranmere Rovers,1-1
23/08/2025,5,Newport County,Milton Keynes Dons,1-2
23/08/2025,5,Walsall FC,Salford City,1-0
23/08/2025,5,Accrington Stanley,Grimsby Town,1-1
23/08/2025,5,Bristol Rovers,Cambridge United,1-0
23/08/2025,5,Cheltenham Town,Barnet FC,0-1
23/08/2025,5,Colchester United,Barrow AFC,0-2
23/08/2025,5,Crawley Town,Tranmere Rovers,0-2
23/08/2025,5,Gillingham FC,Crewe Alexandra,1-0
23/08/2025,5,Fleetwood Town,Oldham Athletic,1-1
23/08/2025,5,Harrogate Town,Chesterfield FC,1-2
23/08/2025,5,Notts County,Bromley FC,2-2
23/08/2025,5,Swindon Town,Shrewsbury Town,2-1
29/08/2025,6,Salford City,Cheltenham Town,1-1
30/08/2025,6,Barrow AFC,Fleetwood Town,0-1
30/08/2025,6,Crewe Alexandra,Swindon Town,0-3
30/08/2025,6,Bromley FC,Harrogate Town,2-0
30/08/2025,6,Cambridge United,Newport County,2-0
30/08/2025,6,Barnet FC,Colchester United,1-1
30/08/2025,6,Chesterfield FC,Crawley Town,2-2
30/08/2025,6,Grimsby Town,Bristol Rovers,0-1
30/08/2025,6,Milton Keynes Dons,Walsall FC,0-1
30/08/2025,6,Oldham Athletic,Gillingham FC,0-1
30/08/2025,6,Shrewsbury Town,Accrington Stanley,0-0
30/08/2025,6,Tranmere Rovers,Notts County,1-2
06/09/2025,7,Newport County,Bristol Rovers,2-3
06/09/2025,7,Barrow AFC,Swindon Town,1-3
06/09/2025,7,Cambridge United,Oldham Athletic,0-1
06/09/2025,7,Cheltenham Town,Accrington Stanley,1-0
06/09/2025,7,Colchester United,Crewe Alexandra,1-1
06/09/2025,7,Barnet FC,Shrewsbury Town,1-3
06/09/2025,7,Harrogate Town,Crawley Town,0-1
06/09/2025,7,Milton Keynes Dons,Grimsby Town,2-3
06/09/2025,7,Notts County,Fleetwood Town,1-0
06/09/2025,7,Salford City,Tranmere Rovers,3-1
06/09/2025,7,Walsall FC,Chesterfield FC,1-0
