Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
09/08/2025,1,EA Guingamp,Le Mans FC,3-3
09/08/2025,1,ESTAC Troyes,Grenoble Foot 38,2-1
09/08/2025,1,Pau FC,FC Annecy,2-0
09/08/2025,1,Montpellier HSC,Red Star FC,1-1
09/08/2025,1,Rodez AF,AS Nancy Lorraine,0-0
09/08/2025,1,Stade Lavallois,AS Saint-Étienne,3-3
09/08/2025,1,USL Dunkerque,Clermont Foot 63,2-2
11/08/2025,1,Amiens SC,Stade de Reims,2-2
16/09/2025,1,US Boulogne,SC Bastia,1-0
15/08/2025,2,AS Nancy Lorraine,US Boulogne,1-0
15/08/2025,2,Clermont Foot 63,ESTAC Troyes,0-0
15/08/2025,2,Red Star FC,Amiens SC,1-3
15/08/2025,2,Grenoble Foot 38,Stade Lavallois,1-1
15/08/2025,2,SC Bastia,Pau FC,1-1
16/08/2025,2,FC Annecy,USL Dunkerque,2-2
16/08/2025,2,Stade de Reims,EA Guingamp,1-0
16/08/2025,2,AS Saint-Étienne,Rodez AF,4-0
18/08/2025,2,Le Mans FC,Montpellier HSC,1-2
22/08/2025,3,Clermont Foot 63,Grenoble Foot 38,2-1
22/08/2025,3,Le Mans FC,SC Bastia,1-0
22/08/2025,3,Rodez AF,Stade Lavallois,1-1
22/08/2025,3,Amiens SC,FC Annecy,0-1
22/08/2025,3,USL Dunkerque,AS Nancy Lorraine,1-3
23/08/2025,3,EA Guingamp,Red Star FC,0-4
23/08/2025,3,ESTAC Troyes,Montpellier HSC,1-0
23/08/2025,3,US Boulogne,AS Saint-Étienne,0-1
25/08/2025,3,Pau FC,Stade de Reims,2-0
29/08/2025,4,AS Nancy Lorraine,Pau FC,2-2
29/08/2025,4,Red Star FC,FC Annecy,1-0
29/08/2025,4,Montpellier HSC,Amiens SC,1-1
29/08/2025,4,Rodez AF,US Boulogne,1-0
29/08/2025,4,Stade Lavallois,Clermont Foot 63,0-0
29/08/2025,4,USL Dunkerque,ESTAC Troyes,2-0
30/08/2025,4,SC Bastia,EA Guingamp,1-3
30/08/2025,4,Stade de Reims,Le Mans FC,1-0
30/08/2025,4,AS Saint-Étienne,Grenoble Foot 38,1-1
12/09/2025,5,US Boulogne,Stade Lavallois,1-2
12/09/2025,5,ESTAC Troyes,AS Nancy Lorraine,3-0
12/09/2025,5,Pau FC,Red Star FC,0-3
12/09/2025,5,Le Mans FC,Rodez AF,0-1
12/09/2025,5,Amiens SC,SC Bastia,0-0
13/09/2025,5,FC Annecy,Stade de Reims,1-1
13/09/2025,5,Grenoble Foot 38,USL Dunkerque,1-0
13/09/2025,5,Clermont Foot 63,AS Saint-Étienne,1-2
15/09/2025,5,EA Guingamp,Montpellier HSC,1-0
19/09/2025,6,US Boulogne,Pau FC,0-3
