Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
09/08/2025,1,AFC Fylde,Oxford City,3-2
09/08/2025,1,Bedford Town,Alfreton Town,2-2
09/08/2025,1,Buxton FC,Radcliffe FC,2-1
09/08/2025,1,Chester FC,Peterborough Sports,3-2
09/08/2025,1,Curzon Ashton,Leamington FC,1-1
09/08/2025,1,Darlington FC,Chorley FC,2-3
09/08/2025,1,Kidderminster Harriers,Scarborough Athletic FC,1-0
09/08/2025,1,King's Lynn,AFC Telford United,1-1
09/08/2025,1,Macclesfield FC,Worksop Town FC,3-1
09/08/2025,1,Merthyr Town,Southport FC,2-0
09/08/2025,1,South Shields FC,Marine AFC,1-0
09/08/2025,1,Spennymoor Town,Hereford FC,2-0
16/08/2025,2,AFC Telford United,Curzon Ashton,1-1
16/08/2025,2,Alfreton Town,Darlington FC,0-3
16/08/2025,2,Chorley FC,Chester FC,3-0
16/08/2025,2,Southport FC,Bedford Town,3-1
16/08/2025,2,Hereford FC,King's Lynn,0-2
16/08/2025,2,Leamington FC,South Shields FC,0-2
16/08/2025,2,Marine AFC,Buxton FC,2-1
16/08/2025,2,Oxford City,Macclesfield FC,2-1
16/08/2025,2,Peterborough Sports,Merthyr Town,0-3
16/08/2025,2,Radcliffe FC,Spennymoor Town,0-2
16/08/2025,2,Scarborough Athletic FC,AFC Fylde,2-1
16/08/2025,2,Worksop Town FC,Kidderminster Harriers,1-1
19/08/2025,3,Alfreton Town,South Shields FC,0-2
19/08/2025,3,Bedford Town,AFC Telford United,3-1
19/08/2025,3,Buxton FC,Hereford FC,1-2
19/08/2025,3,Chester FC,Curzon Ashton,1-1
19/08/2025,3,Chorley FC,Scarborough Athletic FC,2-2
19/08/2025,3,Darlington FC,AFC Fylde,1-3
19/08/2025,3,Southport FC,Macclesfield FC,1-2
19/08/2025,3,Kidderminster Harriers,Oxford City,1-1
19/08/2025,3,Merthyr Town,Marine AFC,1-3
19/08/2025,3,Peterborough Sports,Leamington FC,0-0
19/08/2025,3,Radcliffe FC,Worksop Town FC,2-1
19/08/2025,3,Spennymoor Town,King's Lynn,0-5
23/08/2025,4,AFC Fylde,Kidderminster Harriers,2-1
23/08/2025,4,AFC Telford United,Buxton FC,0-1
23/08/2025,4,Curzon Ashton,Merthyr Town,0-3
23/08/2025,4,Hereford FC,Chorley FC,1-4
