Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
09/08/2025,1,Chelmsford City,Horsham FC,1-0
09/08/2025,1,Chippenham Town,Dorking Wanderers,2-2
09/08/2025,1,Dagenham & Redbridge,Ebbsfleet United,0-2
09/08/2025,1,Dover Athletic,AFC Totton,2-3
09/08/2025,1,Farnborough FC,Eastbourne Borough,1-1
09/08/2025,1,Hampton & Richmond Borough,Salisbury FC,0-0
09/08/2025,1,Hemel Hempstead Town,Maidstone United,1-1
09/08/2025,1,AFC Hornchurch,Weston-super-Mare AFC,3-2
09/08/2025,1,Maidenhead United,Chesham United,1-2
09/08/2025,1,Tonbridge Angels,Slough Town,0-0
09/08/2025,1,Torquay United,Enfield Town FC,3-1
09/08/2025,1,Worthing FC,Bath City FC,1-1
16/08/2025,2,AFC Totton,Tonbridge Angels,3-0
16/08/2025,2,Bath City FC,Dover Athletic,1-2
16/08/2025,2,Chesham United,Farnborough FC,3-2
16/08/2025,2,Dorking Wanderers,Hampton & Richmond Borough,0-3
16/08/2025,2,Eastbourne Borough,AFC Hornchurch,1-2
16/08/2025,2,Ebbsfleet United,Chippenham Town,1-0
16/08/2025,2,Enfield Town FC,Maidenhead United,0-0
16/08/2025,2,Horsham FC,Worthing FC,3-4
16/08/2025,2,Maidstone United,Torquay United,1-1
16/08/2025,2,Salisbury FC,Dagenham & Redbridge,0-0
16/08/2025,2,Slough Town,Hemel Hempstead Town,0-1
16/08/2025,2,Weston-super-Mare AFC,Chelmsford City,0-0
19/08/2025,3,Chesham United,Horsham FC,0-0
19/08/2025,3,Chippenham Town,Weston-super-Mare AFC,1-2
19/08/2025,3,Dagenham & Redbridge,Tonbridge Angels,2-2
19/08/2025,3,Dorking Wanderers,Slough Town,2-0
19/08/2025,3,Eastbourne Borough,Dover Athletic,0-1
19/08/2025,3,Ebbsfleet United,Chelmsford City,1-0
19/08/2025,3,Enfield Town FC,AFC Hornchurch,0-1
