Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
02/08/2025,1,Kilmarnock FC,Livingston FC,2-2
02/08/2025,1,Motherwell FC,Rangers FC,1-1
03/08/2025,1,Falkirk FC,Dundee United,2-2
03/08/2025,1,Dundee FC,Hibernian FC,1-2
03/08/2025,1,Celtic FC,St. Mirren FC,1-0
04/08/2025,1,Heart of Midlothian,Aberdeen FC,2-0
09/08/2025,2,St. Mirren FC,Motherwell FC,0-0
09/08/2025,2,Livingston FC,Falkirk FC,3-1
09/08/2025,2,Rangers FC,Dundee FC,1-1
10/08/2025,2,Aberdeen FC,Celtic FC,0-2
10/08/2025,2,Dundee United,Heart of Midlothian,2-3
10/08/2025,2,Hibernian FC,Kilmarnock FC,2-2
23/08/2025,3,Celtic FC,Livingston FC,3-0
23/08/2025,3,Kilmarnock FC,Dundee FC,0-0
23/08/2025,3,Heart of Midlothian,Motherwell FC,3-3
24/08/2025,3,St. Mirren FC,Rangers FC,1-1
23/09/2025,3,Dundee United,Aberdeen FC,2-0
23/09/2025,3,Falkirk FC,Hibernian FC,2-2
30/08/2025,4,Livingston FC,Heart of Midlothian,1-2
30/08/2025,4,Motherwell FC,Kilmarnock FC,2-2
31/08/2025,4,Rangers FC,Celtic FC,0-0
31/08/2025,4,Dundee FC,Dundee United,0-2
31/08/2025,4,Aberdeen FC,Falkirk FC,0-1
31/08/2025,4,Hibernian FC,St. Mirren FC,1-1
13/09/2025,5,Dundee FC,Motherwell FC,1-1
13/09/2025,5,Falkirk FC,St. Mirren FC,1-2
13/09/2025,5,Aberdeen FC,Livingston FC,0-0
13/09/2025,5,Rangers FC,Heart of Midlothian,0-2
13/09/2025,5,Hibernian FC,Dundee United,3-3
14/09/2025,5,Kilmarnock FC,Celtic FC,1-2
27/09/2025,6,Celtic FC,Hibernian FC,0-0
27/09/2025,6,Dundee United,Kilmarnock FC,0-2
27/09/2025,6,St. Mirren FC,Dundee FC,1-0
27/09/2025,6,Heart of Midlothian,Falkirk FC,3-0
27/09/2025,6,Motherwell FC,Aberdeen FC,2-0
28/09/2025,6,Livingston FC,Rangers FC,1-2
04/10/2025,7,Dundee United,Livingston FC,1-1
04/10/2025,7,Kilmarnock FC,St. Mirren FC,2-0
04/10/2025,7,Heart of Midlothian,Hibernian FC,1-0
05/10/2025,7,Celtic FC,Motherwell FC,3-2
05/10/2025,7,Falkirk FC,Rangers FC,1-1
05/10/2025,7,Aberdeen FC,Dundee FC,4-0
18/10/2025,8,St. Mirren FC,Aberdeen FC,0-1
18/10/2025,8,Rangers FC,Dundee United,2-2
18/10/2025,8,Hibernian FC,Livingston FC,4-0
18/10/2025,8,Motherwell FC,Falkirk FC,1-2
18/10/2025,8,Kilmarnock FC,Heart of Midlothian,0-3
19/10/2025,8,Dundee FC,Celtic FC,2-0
25/10/2025,9,Dundee United,St. Mirren FC,3-1
25/10/2025,9,Falkirk FC,Dundee FC,2-1
25/10/2025,9,Livingston FC,Motherwell FC,1-2
26/10/2025,9,Heart of Midlothian,Celtic FC,3-1
26/10/2025,9,Aberdeen FC,Hibernian FC,1-2
26/10/2025,9,Rangers FC,Kilmarnock FC,3-1
20/09/2025,10,Dundee FC,Livingston FC,3-2
29/10/2025,10,Celtic FC,Falkirk FC,4-0
29/10/2025,10,Kilmarnock FC,Aberdeen FC,0-1
29/10/2025,10,St. Mirren FC,Heart of Midlothian,2-2
29/10/2025,10,Hibernian FC,Rangers FC,0-1
29/10/2025,10,Motherwell FC,Dundee United,2-0
01/11/2025,11,Falkirk FC,Kilmarnock FC,3-1
01/11/2025,11,Heart of Midlothian,Dundee FC,4-0
25/11/2025,11,Motherwell FC,Hibernian FC,2-0
17/12/2025,11,Dundee United,Celtic FC,2-1
06/01/2026,11,Rangers FC,Aberdeen FC,2-0
20/01/2026,11,Livingston FC,St. Mirren FC,1-1
08/11/2025,12,Falkirk FC,Livingston FC,1-1
08/11/2025,12,St. Mirren FC,Hibernian FC,0-3
09/11/2025,12,Dundee FC,Rangers FC,0-3
09/11/2025,12,Aberdeen FC,Motherwell FC,1-1
09/11/2025,12,Heart of Midlothian,Dundee United,1-1
09/11/2025,12,Celtic FC,Kilmarnock FC,4-0
22/11/2025,13,Dundee United,Falkirk FC,0-3
22/11/2025,13,Kilmarnock FC,Motherwell FC,1-3
22/11/2025,13,Rangers FC,Livingston FC,2-1
22/11/2025,13,Hibernian FC,Dundee FC,2-0
22/11/2025,13,St. Mirren FC,Celtic FC,0-1
23/11/2025,13,Aberdeen FC,Heart of Midlothian,1-0
29/11/2025,14,Dundee FC,St. Mirren FC,3-1
29/11/2025,14,Motherwell FC,Heart of Midlothian,0-0
29/11/2025,14,Kilmarnock FC,Dundee United,1-1
30/11/2025,14,Hibernian FC,Celtic FC,1-2
30/11/2025,14,Rangers FC,Falkirk FC,0-0
30/11/2025,14,Livingston FC,Aberdeen FC,0-1
01/11/2025,15,Livingston FC,Hibernian FC,2-2
03/12/2025,15,Celtic FC,Dundee FC,1-0
03/12/2025,15,Dundee United,Rangers FC,2-2
03/12/2025,15,Falkirk FC,Motherwell FC,0-0
03/12/2025,15,Aberdeen FC,St. Mirren FC,3-3
03/12/2025,15,Heart of Midlothian,Kilmarnock FC,1-1
06/12/2025,16,Dundee FC,Aberdeen FC,1-3
06/12/2025,16,St. Mirren FC,Dundee United,2-0
06/12/2025,16,Hibernian FC,Falkirk FC,3-0
06/12/2025,16,Motherwell FC,Livingston FC,3-0
06/12/2025,16,Kilmarnock FC,Rangers FC,0-3
07/12/2025,16,Celtic FC,Heart of Midlothian,1-2
13/12/2025,17,Dundee United,Motherwell FC,0-0
13/12/2025,17,Livingston FC,Dundee FC,2-2
14/12/2025,17,Aberdeen FC,Kilmarnock FC,2-1
15/12/2025,17,Rangers FC,Hibernian FC,1-0
14/01/2026,17,Falkirk FC,Celtic FC,0-1
14/01/2026,17,Heart of Midlothian,St. Mirren FC,2-0
20/12/2025,18,Dundee United,Hibernian FC,1-1
