Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
23/01/2026,1,Real Santander,Real Cartagena,0-1
24/01/2026,1,Barranquilla FC,Orsomarso SC,1-2
25/01/2026,1,Independiente Yumbo,Atlético FC,1-1
25/01/2026,1,Internacional de Palmira,Patriotas FC,3-1
26/01/2026,1,Leones FC,Tigres FC,0-0
26/01/2026,1,Boca Juniors de Cali,Deportes Quindío,0-1
26/01/2026,1,Real Soacha Cundinamarca,Envigado FC,0-2
27/01/2026,1,Unión Magdalena,Bogotá FC,0-0
30/01/2026,2,Atlético FC,Barranquilla FC,0-2
30/01/2026,2,Bogotá FC,Internacional de Palmira,1-2
30/01/2026,2,Patriotas FC,Real Santander,2-0
31/01/2026,2,Real Cartagena,Real Soacha Cundinamarca,1-0
31/01/2026,2,Envigado FC,Independiente Yumbo,2-0
01/02/2026,2,Orsomarso SC,Unión Magdalena,0-1
01/02/2026,2,Deportes Quindío,Leones FC,3-0
01/02/2026,2,Tigres FC,Boca Juniors de Cali,2-0
04/02/2026,3,Barranquilla FC,Patriotas FC,2-0
04/02/2026,3,Real Santander,Atlético FC,1-1
04/02/2026,3,Tigres FC,Orsomarso SC,0-1
04/02/2026,3,Internacional de Palmira,Deportes Quindío,1-2
05/02/2026,3,Independiente Yumbo,Real Cartagena,1-1
05/02/2026,3,Boca Juniors de Cali,Real Soacha Cundinamarca,1-1
05/02/2026,3,Leones FC,Bogotá FC,1-1
19/03/2026,3,Unión Magdalena,Envigado FC,
08/02/2026,4,Barranquilla FC,Real Santander,
08/02/2026,4,Real Soacha Cundinamarca,Leones FC,2-0
09/02/2026,4,Envigado FC,Tigres FC,0-0
09/02/2026,4,Atlético FC,Internacional de Palmira,0-1
09/02/2026,4,Unión Magdalena,Boca Juniors de Cali,0-2
09/02/2026,4,Bogotá FC,Real Cartagena,0-1
10/02/2026,4,Orsomarso SC,Patriotas FC,0-0
10/02/2026,4,Deportes Quindío,Independiente Yumbo,0-0
13/02/2026,5,Real Cartagena,Atlético FC,4-1
14/02/2026,5,Patriotas FC,Bogotá FC,0-1
14/02/2026,5,Real Santander,Real Soacha Cundinamarca,2-1
14/02/2026,5,Internacional de Palmira,Envigado FC,2-1
14/02/2026,5,Leones FC,Unión Magdalena,1-3
16/02/2026,5,Tigres FC,Independiente Yumbo,1-3
17/02/2026,5,Deportes Quindío,Barranquilla FC,1-0
18/02/2026,5,Boca Juniors de Cali,Orsomarso SC,2-2
20/02/2026,6,Atlético FC,Patriotas FC,1-1
21/02/2026,6,Barranquilla FC,Internacional de Palmira,0-4
21/02/2026,6,Real Cartagena,Leones FC,2-3
22/02/2026,6,Bogotá FC,Boca Juniors de Cali,2-1
22/02/2026,6,Real Soacha Cundinamarca,Orsomarso SC,1-0
24/02/2026,6,Independiente Yumbo,Real Santander,1-1
24/02/2026,6,Envigado FC,Deportes Quindío,1-2
24/02/2026,6,Unión Magdalena,Tigres FC,3-1
26/02/2026,7,Boca Juniors de Cali,Barranquilla FC,0-2
