Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
25/07/2025,1,Royal Antwerp FC,Union Saint-Gilloise,1-1
26/07/2025,1,FCV Dender EH,Cercle Brugge,0-0
26/07/2025,1,SV Zulte Waregem,KV Mechelen,1-1
26/07/2025,1,RAAL La Louviére,Standard Lieja,0-2
27/07/2025,1,RSC Anderlecht,KVC Westerlo,5-2
27/07/2025,1,Oud-Heverlee Leuven,Sporting Charleroi,2-2
27/07/2025,1,Club Brugge KV,KRC Genk,2-1
27/07/2025,1,Sint-Truidense VV,KAA Gent,3-1
01/08/2025,2,KV Mechelen,Club Brugge KV,2-1
02/08/2025,2,KVC Westerlo,SV Zulte Waregem,3-1
02/08/2025,2,Standard Lieja,FCV Dender EH,1-1
02/08/2025,2,KAA Gent,RAAL La Louviére,1-0
03/08/2025,2,KRC Genk,Royal Antwerp FC,1-1
03/08/2025,2,Cercle Brugge,RSC Anderlecht,0-2
03/08/2025,2,Union Saint-Gilloise,Oud-Heverlee Leuven,5-0
03/08/2025,2,Sporting Charleroi,Sint-Truidense VV,1-1
08/08/2025,3,Sint-Truidense VV,FCV Dender EH,2-0
09/08/2025,3,Club Brugge KV,Cercle Brugge,2-0
09/08/2025,3,KVC Westerlo,KV Mechelen,0-1
09/08/2025,3,KAA Gent,Union Saint-Gilloise,2-3
10/08/2025,3,RAAL La Louviére,Sporting Charleroi,1-0
10/08/2025,3,RSC Anderlecht,SV Zulte Waregem,2-3
10/08/2025,3,Standard Lieja,KRC Genk,2-1
10/08/2025,3,Royal Antwerp FC,Oud-Heverlee Leuven,3-1
15/08/2025,4,Oud-Heverlee Leuven,KRC Genk,1-2
16/08/2025,4,SV Zulte Waregem,Club Brugge KV,0-1
16/08/2025,4,KV Mechelen,KAA Gent,1-1
16/08/2025,4,Union Saint-Gilloise,Standard Lieja,3-0
17/08/2025,4,FCV Dender EH,RSC Anderlecht,0-2
17/08/2025,4,Sint-Truidense VV,RAAL La Louviére,2-1
17/08/2025,4,Sporting Charleroi,Royal Antwerp FC,1-1
17/08/2025,4,Cercle Brugge,KVC Westerlo,4-1
23/08/2025,5,Standard Lieja,Cercle Brugge,0-3
23/08/2025,5,SV Zulte Waregem,Sint-Truidense VV,0-2
24/08/2025,5,Royal Antwerp FC,KV Mechelen,2-1
24/08/2025,5,RAAL La Louviére,Union Saint-Gilloise,0-0
24/08/2025,5,FCV Dender EH,Oud-Heverlee Leuven,0-1
17/09/2025,5,KRC Genk,Sporting Charleroi,0-1
23/09/2025,5,RSC Anderlecht,KAA Gent,1-0
24/09/2025,5,Club Brugge KV,KVC Westerlo,5-5
29/08/2025,6,Cercle Brugge,Sint-Truidense VV,1-1
30/08/2025,6,KV Mechelen,RAAL La Louviére,3-2
30/08/2025,6,KVC Westerlo,Royal Antwerp FC,2-0
30/08/2025,6,Sporting Charleroi,FCV Dender EH,3-1
31/08/2025,6,KAA Gent,Club Brugge KV,1-1
31/08/2025,6,Oud-Heverlee Leuven,Standard Lieja,1-0
31/08/2025,6,Union Saint-Gilloise,RSC Anderlecht,2-0
31/08/2025,6,KRC Genk,SV Zulte Waregem,3-2
12/09/2025,7,Standard Lieja,KV Mechelen,1-1
13/09/2025,7,SV Zulte Waregem,Oud-Heverlee Leuven,2-0
13/09/2025,7,FCV Dender EH,Union Saint-Gilloise,0-1
13/09/2025,7,RAAL La Louviére,Club Brugge KV,1-0
14/09/2025,7,Royal Antwerp FC,KAA Gent,1-2
14/09/2025,7,Cercle Brugge,Sporting Charleroi,2-3
14/09/2025,7,RSC Anderlecht,KRC Genk,1-1
14/09/2025,7,Sint-Truidense VV,KVC Westerlo,0-3
19/09/2025,8,KAA Gent,FCV Dender EH,3-0
20/09/2025,8,Oud-Heverlee Leuven,RAAL La Louviére,1-2
20/09/2025,8,Sporting Charleroi,SV Zulte Waregem,1-2
20/09/2025,8,RSC Anderlecht,Royal Antwerp FC,0-0
21/09/2025,8,KRC Genk,Union Saint-Gilloise,1-2
21/09/2025,8,KVC Westerlo,Standard Lieja,0-2
21/09/2025,8,Club Brugge KV,Sint-Truidense VV,2-0
21/09/2025,8,KV Mechelen,Cercle Brugge,0-0
26/09/2025,9,Oud-Heverlee Leuven,RSC Anderlecht,1-1
27/09/2025,9,SV Zulte Waregem,Royal Antwerp FC,2-0
27/09/2025,9,Standard Lieja,Club Brugge KV,1-2
27/09/2025,9,Union Saint-Gilloise,KVC Westerlo,2-0
28/09/2025,9,Sint-Truidense VV,KRC Genk,1-2
28/09/2025,9,Cercle Brugge,KAA Gent,2-4
28/09/2025,9,Sporting Charleroi,KV Mechelen,0-2
28/09/2025,9,FCV Dender EH,RAAL La Louviére,0-0
03/10/2025,10,KAA Gent,Sporting Charleroi,2-1
04/10/2025,10,KV Mechelen,Sint-Truidense VV,1-3
04/10/2025,10,RAAL La Louviére,SV Zulte Waregem,0-0
04/10/2025,10,Royal Antwerp FC,Cercle Brugge,1-1
05/10/2025,10,RSC Anderlecht,Standard Lieja,1-0
05/10/2025,10,KRC Genk,FCV Dender EH,2-1
05/10/2025,10,Club Brugge KV,Union Saint-Gilloise,1-0
05/10/2025,10,KVC Westerlo,Oud-Heverlee Leuven,2-0
18/10/2025,11,RAAL La Louviére,KVC Westerlo,0-0
18/10/2025,11,Oud-Heverlee Leuven,Club Brugge KV,0-1
18/10/2025,11,Union Saint-Gilloise,Sporting Charleroi,3-1
19/10/2025,11,Cercle Brugge,KRC Genk,2-2
19/10/2025,11,FCV Dender EH,KV Mechelen,1-3
19/10/2025,11,Sint-Truidense VV,RSC Anderlecht,2-2
19/10/2025,11,SV Zulte Waregem,KAA Gent,4-1
20/10/2025,11,Standard Lieja,Royal Antwerp FC,1-0
24/10/2025,12,Sporting Charleroi,RSC Anderlecht,1-0
25/10/2025,12,KVC Westerlo,FCV Dender EH,1-1
25/10/2025,12,KV Mechelen,Oud-Heverlee Leuven,1-1
25/10/2025,12,KAA Gent,Standard Lieja,4-0
26/10/2025,12,Royal Antwerp FC,Club Brugge KV,0-1
26/10/2025,12,Cercle Brugge,SV Zulte Waregem,1-1
26/10/2025,12,KRC Genk,RAAL La Louviére,1-1
