Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
28/01/2026,1,Atlético Mineiro,Palmeiras,2-2
28/01/2026,1,Coritiba - PR,Red Bull Bragantino,0-1
28/01/2026,1,Internacional,Athletico Paranaense,0-1
28/01/2026,1,Vitória - BA,Remo - PA,2-0
28/01/2026,1,Fluminense RJ,Grêmio Porto Alegre,2-1
29/01/2026,1,Chapecoense,Santos FC,4-2
29/01/2026,1,Corinthians SP,Bahia - BA,1-2
29/01/2026,1,São Paulo FC,Flamengo RJ,2-1
30/01/2026,1,Mirassol - SP,Vasco da Gama - RJ,2-1
30/01/2026,1,Botafogo - RJ,Cruzeiro,4-0
04/02/2026,2,Red Bull Bragantino,Atlético Mineiro,1-0
04/02/2026,2,Flamengo RJ,Internacional,1-1
05/02/2026,2,Remo - PA,Mirassol - SP,2-2
05/02/2026,2,Santos FC,São Paulo FC,1-1
05/02/2026,2,Grêmio Porto Alegre,Botafogo - RJ,5-3
05/02/2026,2,Palmeiras,Vitória - BA,5-1
05/02/2026,2,Bahia - BA,Fluminense RJ,1-1
06/02/2026,2,Vasco da Gama - RJ,Chapecoense,1-1
06/02/2026,2,Cruzeiro,Coritiba - PR,1-2
19/02/2026,2,Athletico Paranaense,Corinthians SP,0-1
11/02/2026,3,Vitória - BA,Flamengo RJ,1-2
11/02/2026,3,Chapecoense,Coritiba - PR,3-3
11/02/2026,3,Mirassol - SP,Cruzeiro,2-2
12/02/2026,3,Atlético Mineiro,Remo - PA,3-3
12/02/2026,3,São Paulo FC,Grêmio Porto Alegre,2-0
12/02/2026,3,Vasco da Gama - RJ,Bahia - BA,0-1
12/02/2026,3,Athletico Paranaense,Santos FC,2-1
12/02/2026,3,Fluminense RJ,Botafogo - RJ,1-0
13/02/2026,3,Corinthians SP,Red Bull Bragantino,2-0
13/02/2026,3,Internacional,Palmeiras,1-3
25/02/2026,4,Bahia - BA,Chapecoense,
25/02/2026,4,Botafogo - RJ,Vitória - BA,
25/02/2026,4,Flamengo RJ,Mirassol - SP,
25/02/2026,4,Red Bull Bragantino,Athletico Paranaense,1-1
25/02/2026,4,Remo - PA,Internacional,1-1
25/02/2026,4,Coritiba - PR,São Paulo FC,0-1
26/02/2026,4,Cruzeiro,Corinthians SP,1-1
26/02/2026,4,Grêmio Porto Alegre,Atlético Mineiro,2-1
26/02/2026,4,Palmeiras,Fluminense RJ,2-1
26/02/2026,4,Santos FC,Vasco da Gama - RJ,2-1
11/03/2026,5,Mirassol - SP,55.,1-0
11/03/2026,5,Atlético Mineiro,Internacional,
12/03/2026,5,Bahia - BA,Vitória - BA,
12/03/2026,5,Corinthians SP,Coritiba - PR,
12/03/2026,5,Flamengo RJ,Cruzeiro,
12/03/2026,5,Remo - PA,Fluminense RJ,
12/03/2026,5,Vasco da Gama - RJ,Palmeiras,
13/03/2026,5,São Paulo FC,Chapecoense,
13/03/2026,5,Grêmio Porto Alegre,Red Bull Bragantino,
29/03/2026,5,Athletico Paranaense,Botafogo - RJ,
14/03/2026,6,Vitória - BA,Atlético Mineiro,
15/03/2026,6,Botafogo - RJ,Flamengo RJ,
15/03/2026,6,Fluminense RJ,Athletico Paranaense,
15/03/2026,6,Internacional,Bahia - BA,
15/03/2026,6,Santos FC,Corinthians SP,
15/03/2026,6,Coritiba - PR,Remo - PA,
15/03/2026,6,Palmeiras,Mirassol - SP,
16/03/2026,6,Red Bull Bragantino,São Paulo FC,
