Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
23/08/2025,1,Genoa CFC,US Lecce,0-0
23/08/2025,1,Sassuolo Calcio,SSC Napoli,0-2
23/08/2025,1,AC Milan,US Cremonese,1-2
23/08/2025,1,AS Roma,Bologna FC,1-0
24/08/2025,1,Cagliari Calcio,ACF Fiorentina,1-1
24/08/2025,1,Como 1907,Lazio Roma,2-0
24/08/2025,1,Atalanta,Pisa SC,1-1
24/08/2025,1,Juventus,Parma Calcio 1913,2-0
25/08/2025,1,Udinese Calcio,Hellas Verona,1-1
25/08/2025,1,Inter,Torino FC,5-0
29/08/2025,2,US Cremonese,Sassuolo Calcio,3-2
29/08/2025,2,US Lecce,AC Milan,0-2
30/08/2025,2,Bologna FC,Como 1907,1-0
30/08/2025,2,Parma Calcio 1913,Atalanta,1-1
30/08/2025,2,Pisa SC,AS Roma,0-1
30/08/2025,2,SSC Napoli,Cagliari Calcio,1-0
31/08/2025,2,Genoa CFC,Juventus,0-1
31/08/2025,2,Torino FC,ACF Fiorentina,0-0
31/08/2025,2,Inter,Udinese Calcio,1-2
31/08/2025,2,Lazio Roma,Hellas Verona,4-0
13/09/2025,3,Cagliari Calcio,Parma Calcio 1913,2-0
13/09/2025,3,Juventus,Inter,4-3
13/09/2025,3,ACF Fiorentina,SSC Napoli,1-3
14/09/2025,3,AS Roma,Torino FC,0-1
14/09/2025,3,Atalanta,US Lecce,4-1
14/09/2025,3,Pisa SC,Udinese Calcio,0-1
14/09/2025,3,Sassuolo Calcio,Lazio Roma,1-0
14/09/2025,3,AC Milan,Bologna FC,1-0
15/09/2025,3,Hellas Verona,US Cremonese,0-0
15/09/2025,3,Como 1907,Genoa CFC,1-1
19/09/2025,4,US Lecce,Cagliari Calcio,1-2
20/09/2025,4,Bologna FC,Genoa CFC,2-1
20/09/2025,4,Hellas Verona,Juventus,1-1
20/09/2025,4,Udinese Calcio,AC Milan,0-3
21/09/2025,4,Lazio Roma,AS Roma,0-1
21/09/2025,4,Torino FC,Atalanta,0-3
21/09/2025,4,US Cremonese,Parma Calcio 1913,0-0
21/09/2025,4,ACF Fiorentina,Como 1907,1-2
21/09/2025,4,Inter,Sassuolo Calcio,2-1
22/09/2025,4,SSC Napoli,Pisa SC,3-2
27/09/2025,5,Como 1907,US Cremonese,1-1
27/09/2025,5,Juventus,Atalanta,1-1
27/09/2025,5,Cagliari Calcio,Inter,0-2
28/09/2025,5,Sassuolo Calcio,Udinese Calcio,3-1
28/09/2025,5,AS Roma,Hellas Verona,2-0
28/09/2025,5,Pisa SC,ACF Fiorentina,0-0
28/09/2025,5,US Lecce,Bologna FC,2-2
28/09/2025,5,AC Milan,SSC Napoli,2-1
29/09/2025,5,Parma Calcio 1913,Torino FC,2-1
29/09/2025,5,Genoa CFC,Lazio Roma,0-3
03/10/2025,6,Hellas Verona,Sassuolo Calcio,0-1
04/10/2025,6,Lazio Roma,Torino FC,3-3
04/10/2025,6,Parma Calcio 1913,US Lecce,0-1
04/10/2025,6,Inter,US Cremonese,4-1
04/10/2025,6,Atalanta,Como 1907,1-1
05/10/2025,6,Udinese Calcio,Cagliari Calcio,1-1
05/10/2025,6,ACF Fiorentina,AS Roma,1-2
05/10/2025,6,Bologna FC,Pisa SC,4-0
05/10/2025,6,SSC Napoli,Genoa CFC,2-1
05/10/2025,6,Juventus,AC Milan,0-0
18/10/2025,7,Pisa SC,Hellas Verona,0-0
18/10/2025,7,US Lecce,Sassuolo Calcio,0-0
18/10/2025,7,Torino FC,SSC Napoli,1-0
18/10/2025,7,AS Roma,Inter,0-1
19/10/2025,7,Como 1907,Juventus,2-0
19/10/2025,7,Cagliari Calcio,Bologna FC,0-2
19/10/2025,7,Genoa CFC,Parma Calcio 1913,0-0
19/10/2025,7,Atalanta,Lazio Roma,0-0
19/10/2025,7,AC Milan,ACF Fiorentina,2-1
20/10/2025,7,US Cremonese,Udinese Calcio,1-1
24/10/2025,8,AC Milan,Pisa SC,2-2
25/10/2025,8,Parma Calcio 1913,Como 1907,0-0
25/10/2025,8,Udinese Calcio,US Lecce,3-2
25/10/2025,8,SSC Napoli,Inter,3-1
25/10/2025,8,US Cremonese,Atalanta,1-1
26/10/2025,8,Torino FC,Genoa CFC,2-1
26/10/2025,8,Hellas Verona,Cagliari Calcio,2-2
26/10/2025,8,Sassuolo Calcio,AS Roma,0-1
26/10/2025,8,ACF Fiorentina,Bologna FC,2-2
26/10/2025,8,Lazio Roma,Juventus,1-0
28/10/2025,9,US Lecce,SSC Napoli,0-1
28/10/2025,9,Atalanta,AC Milan,1-1
29/10/2025,9,AS Roma,Parma Calcio 1913,2-1
29/10/2025,9,Como 1907,Hellas Verona,3-1
29/10/2025,9,Juventus,Udinese Calcio,3-1
29/10/2025,9,Genoa CFC,US Cremonese,0-2
29/10/2025,9,Bologna FC,Torino FC,0-0
