Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
21/03/2026,1,Ceará - CE,São Bernardo FC - SP,
21/03/2026,1,Vila Nova - GO,CR Brasil - AL,
21/03/2026,1,Operário Ferroviário - PR,Atlético Goianiense,
21/03/2026,1,Botafogo - SP,Fortaleza - CE,
22/03/2026,1,Cuiabá - MT,Sport Recife - PE,
22/03/2026,1,Avaí - SC,Juventude - RS,
22/03/2026,1,Náutico - PE,Criciúma - SC,
22/03/2026,1,Athletic - MG,Ponte Preta,
22/03/2026,1,Goiás - GO,América - MG,
23/03/2026,1,Grêmio Novorizontino - SP,Londrina - PR,
01/04/2026,2,Fortaleza - CE,Cuiabá - MT,
01/04/2026,2,Juventude - RS,Grêmio Novorizontino - SP,
02/04/2026,2,Londrina - PR,Goiás - GO,
02/04/2026,2,Atlético Goianiense,Náutico - PE,
02/04/2026,2,Sport Recife - PE,Vila Nova - GO,
02/04/2026,2,Ponte Preta,Ceará - CE,
02/04/2026,2,Criciúma - SC,Athletic - MG,
02/04/2026,2,CR Brasil - AL,Avaí - SC,
02/04/2026,2,São Bernardo FC - SP,Operário Ferroviário - PR,
03/04/2026,2,América - MG,Botafogo - SP,
04/04/2026,3,Fortaleza - CE,Juventude - RS,
04/04/2026,3,Náutico - PE,Ponte Preta,
04/04/2026,3,Cuiabá - MT,Ceará - CE,
05/04/2026,3,Vila Nova - GO,Atlético Goianiense,
05/04/2026,3,Londrina - PR,Sport Recife - PE,
05/04/2026,3,Avaí - SC,Operário Ferroviário - PR,
05/04/2026,3,Grêmio Novorizontino - SP,CR Brasil - AL,
06/04/2026,3,Athletic - MG,América - MG,
06/04/2026,3,Botafogo - SP,São Bernardo FC - SP,
07/04/2026,3,Goiás - GO,Criciúma - SC,
11/04/2026,4,Criciúma - SC,Botafogo - SP,
11/04/2026,4,Sport Recife - PE,Avaí - SC,
11/04/2026,4,Ponte Preta,Vila Nova - GO,
12/04/2026,4,Ceará - CE,Náutico - PE,
