Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
25/07/2025,1,FC Zürich,FC Sion,2-3
26/07/2025,1,FC St. Gallen,FC Basel 1893,2-1
26/07/2025,1,Grasshopper Club Zürich,FC Luzern,2-3
26/07/2025,1,BSC Young Boys,Servette FC,3-1
27/07/2025,1,FC Lausanne-Sport,FC Winterthur,3-2
27/07/2025,1,FC Lugano,FC Thun Berner Oberland,1-2
02/08/2025,2,FC Winterthur,BSC Young Boys,1-1
02/08/2025,2,Servette FC,FC St. Gallen,1-4
02/08/2025,2,FC Basel 1893,Grasshopper Club Zürich,2-1
03/08/2025,2,FC Thun Berner Oberland,FC Lausanne-Sport,2-1
03/08/2025,2,FC Luzern,FC Zürich,1-1
03/08/2025,2,FC Sion,FC Lugano,4-0
09/08/2025,3,FC St. Gallen,FC Winterthur,5-0
09/08/2025,3,FC Luzern,FC Thun Berner Oberland,1-2
10/08/2025,3,BSC Young Boys,FC Sion,0-0
10/08/2025,3,Servette FC,Grasshopper Club Zürich,1-1
10/08/2025,3,FC Lausanne-Sport,FC Zürich,1-2
10/08/2025,3,FC Lugano,FC Basel 1893,3-1
06/08/2025,4,FC Basel 1893,BSC Young Boys,4-1
23/08/2025,4,FC Zürich,FC Thun Berner Oberland,0-4
24/08/2025,4,Grasshopper Club Zürich,FC Winterthur,2-2
24/08/2025,4,FC St. Gallen,FC Luzern,0-1
17/09/2025,4,FC Sion,Servette FC,0-2
17/09/2025,4,FC Lugano,FC Lausanne-Sport,1-1
30/08/2025,5,FC Thun Berner Oberland,Grasshopper Club Zürich,1-1
30/08/2025,5,FC Winterthur,FC Zürich,1-3
30/08/2025,5,FC Sion,FC Basel 1893,0-1
31/08/2025,5,FC Lausanne-Sport,FC St. Gallen,1-2
31/08/2025,5,Servette FC,FC Luzern,2-2
31/08/2025,5,BSC Young Boys,FC Lugano,3-1
13/09/2025,6,FC Thun Berner Oberland,FC Basel 1893,1-3
13/09/2025,6,FC Zürich,Servette FC,2-1
13/09/2025,6,FC St. Gallen,FC Lugano,1-0
14/09/2025,6,FC Winterthur,FC Sion,2-3
14/09/2025,6,FC Luzern,BSC Young Boys,1-2
14/09/2025,6,Grasshopper Club Zürich,FC Lausanne-Sport,3-1
27/09/2025,7,FC Lugano,Grasshopper Club Zürich,2-1
27/09/2025,7,Servette FC,FC Winterthur,4-0
27/09/2025,7,FC Zürich,FC St. Gallen,3-1
28/09/2025,7,BSC Young Boys,FC Thun Berner Oberland,4-2
28/09/2025,7,FC Basel 1893,FC Luzern,1-2
28/09/2025,7,FC Sion,FC Lausanne-Sport,0-0
04/10/2025,8,FC Luzern,FC Sion,3-3
04/10/2025,8,FC St. Gallen,FC Thun Berner Oberland,1-2
04/10/2025,8,Grasshopper Club Zürich,FC Zürich,3-0
05/10/2025,8,FC Lausanne-Sport,BSC Young Boys,5-0
05/10/2025,8,FC Winterthur,FC Lugano,2-4
05/10/2025,8,Servette FC,FC Basel 1893,0-3
18/10/2025,9,FC Basel 1893,FC Winterthur,3-0
18/10/2025,9,FC Thun Berner Oberland,Servette FC,3-1
18/10/2025,9,FC Lugano,FC Zürich,1-0
19/10/2025,9,Grasshopper Club Zürich,FC Sion,0-1
19/10/2025,9,FC Luzern,FC Lausanne-Sport,2-2
19/10/2025,9,BSC Young Boys,FC St. Gallen,1-2
25/10/2025,10,FC Sion,FC Thun Berner Oberland,0-1
25/10/2025,10,FC St. Gallen,Grasshopper Club Zürich,5-0
25/10/2025,10,FC Winterthur,FC Luzern,2-2
26/10/2025,10,FC Zürich,BSC Young Boys,2-3
26/10/2025,10,FC Lausanne-Sport,FC Basel 1893,5-1
