Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
22/01/2026,1,Aldosivi,Defensa y Justicia,0-0
23/01/2026,1,Banfield,Huracán,1-1
23/01/2026,1,Unión de Santa Fe,Platense,0-0
23/01/2026,1,Central Córdoba SdE,Gimnasia de Mendoza,0-1
23/01/2026,1,Instituto de Córdoba,Vélez Sarsfield,0-1
23/01/2026,1,San Lorenzo,Lanús,2-3
24/01/2026,1,Independiente,Estudiantes,1-1
24/01/2026,1,Independiente Rivadavia,Atlético Tucumán,2-1
24/01/2026,1,Talleres de Córdoba,Newell's Old Boys,2-1
24/01/2026,1,Barracas Central,River Plate,0-1
24/01/2026,1,Gimnasia de La Plata,Racing Club,2-1
25/01/2026,1,Rosario Central,Belgrano de Córdoba,1-2
25/01/2026,1,Boca Juniors,Deportivo Riestra,1-0
26/01/2026,1,Argentinos Juniors,Sarmiento de Junín,1-0
26/01/2026,1,Tigre,Estudiantes de Río Cuarto,2-0
26/01/2026,2,Platense,Instituto de Córdoba,2-1
27/01/2026,2,Vélez Sarsfield,Talleres de Córdoba,2-1
28/01/2026,2,Huracán,Independiente Rivadavia,1-2
28/01/2026,2,Gimnasia de Mendoza,San Lorenzo,0-1
28/01/2026,2,Atlético Tucumán,Central Córdoba SdE,0-0
28/01/2026,2,Newell's Old Boys,Independiente,1-1
28/01/2026,2,Aldosivi,Barracas Central,0-0
28/01/2026,2,Racing Club,Rosario Central,1-2
29/01/2026,2,River Plate,Gimnasia de La Plata,2-0
29/01/2026,2,Estudiantes,Boca Juniors,2-1
29/01/2026,2,Deportivo Riestra,Defensa y Justicia,0-1
29/01/2026,2,Belgrano de Córdoba,Tigre,1-1
29/01/2026,2,Lanús,Unión de Santa Fe,2-1
30/01/2026,2,Sarmiento de Junín,Banfield,1-0
30/01/2026,2,Estudiantes de Río Cuarto,Argentinos Juniors,0-0
31/01/2026,3,San Lorenzo,Central Córdoba SdE,1-0
31/01/2026,3,Independiente,Vélez Sarsfield,1-1
01/02/2026,3,Atlético Tucumán,Huracán,1-1
01/02/2026,3,Talleres de Córdoba,Platense,1-2
01/02/2026,3,Barracas Central,Deportivo Riestra,1-1
01/02/2026,3,Boca Juniors,Newell's Old Boys,2-0
02/02/2026,3,Rosario Central,River Plate,0-0
02/02/2026,3,Gimnasia de La Plata,Aldosivi,3-1
02/02/2026,3,Tigre,Racing Club,3-1
02/02/2026,3,Defensa y Justicia,Estudiantes,0-0
03/02/2026,3,Argentinos Juniors,Belgrano de Córdoba,0-0
03/02/2026,3,Unión de Santa Fe,Gimnasia de Mendoza,4-0
03/02/2026,3,Banfield,Estudiantes de Río Cuarto,2-1
04/02/2026,3,Independiente Rivadavia,Sarmiento de Junín,2-1
04/02/2026,3,Instituto de Córdoba,Lanús,2-2
07/02/2026,4,Central Córdoba SdE,Unión de Santa Fe,1-0
07/02/2026,4,Aldosivi,Rosario Central,1-1
07/02/2026,4,Racing Club,Argentinos Juniors,2-1
08/02/2026,4,River Plate,Tigre,1-4
08/02/2026,4,Belgrano de Córdoba,Banfield,1-0
08/02/2026,4,Newell's Old Boys,Defensa y Justicia,2-3
08/02/2026,4,Sarmiento de Junín,Atlético Tucumán,2-1
08/02/2026,4,Platense,Independiente,0-1
08/02/2026,4,Huracán,San Lorenzo,1-0
09/02/2026,4,Gimnasia de Mendoza,Instituto de Córdoba,1-0
09/02/2026,4,Vélez Sarsfield,Boca Juniors,2-1
09/02/2026,4,Barracas Central,Gimnasia de La Plata,2-0
09/02/2026,4,Lanús,Talleres de Córdoba,1-1
09/02/2026,4,Estudiantes,Deportivo Riestra,1-0
10/02/2026,4,Estudiantes de Río Cuarto,Independiente Rivadavia,0-1
12/02/2026,5,Tigre,Aldosivi,1-0
13/02/2026,5,Argentinos Juniors,River Plate,1-0
14/02/2026,5,Independiente,Lanús,2-0
14/02/2026,5,Defensa y Justicia,Vélez Sarsfield,1-1
14/02/2026,5,Unión de Santa Fe,San Lorenzo,0-0
14/02/2026,5,Banfield,Racing Club,0-2
14/02/2026,5,Huracán,Sarmiento de Junín,1-0
14/02/2026,5,Talleres de Córdoba,Gimnasia de Mendoza,2-1
15/02/2026,5,Atlético Tucumán,Estudiantes de Río Cuarto,4-0
15/02/2026,5,Independiente Rivadavia,Belgrano de Córdoba,0-1
15/02/2026,5,Gimnasia de La Plata,Estudiantes,0-0
15/02/2026,5,Boca Juniors,Platense,0-0
16/02/2026,5,Instituto de Córdoba,Central Córdoba SdE,2-0
16/02/2026,5,Rosario Central,Barracas Central,2-0
16/02/2026,5,Deportivo Riestra,Newell's Old Boys,1-1
20/02/2026,6,Defensa y Justicia,Belgrano de Córdoba,1-1
20/02/2026,6,Estudiantes,Sarmiento de Junín,1-0
21/02/2026,6,Boca Juniors,Racing Club,0-0
21/02/2026,6,Instituto de Córdoba,Atlético Tucumán,2-1
21/02/2026,6,Gimnasia de Mendoza,Gimnasia de La Plata,0-1
21/02/2026,6,Rosario Central,Talleres de Córdoba,0-1
21/02/2026,6,Independiente Rivadavia,Independiente,3-2
